,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.3184, 400.0]]","[[0.3186, 5105.6]]",2022-11-24 02:40:48.350,1178442441,ADA,USD,70.9,0.3184,400.0,0.3186,5105.6
BNB/USD,"[[297.6549, 1.6]]","[[297.9655, 0.647]]",2022-11-24 02:40:48.424,1554447479,BNB,USD,74.5,297.6549,1.6,297.9655,0.647
BTC/USD,"[[16673.01, 0.052574]]","[[16675.79, 0.000144]]",2022-11-24 02:40:48.491,2845251597,BTC,USD,66.3,16673.01,0.052574,16675.79,0.000144
BUSD/USD,"[[1.0, 581978.35]]","[[1.0001, 749545.4]]",2022-11-24 02:40:48.561,11978624,BUSD,USD,70.0,1.0,581978.35,1.0001,749545.4
ETH/USD,"[[1199.14, 1.18]]","[[1199.43, 1.12379]]",2022-11-24 02:40:48.635,2364910288,ETH,USD,74.5,1199.14,1.18,1199.43,1.12379
MANA/USD,"[[0.4002, 794.9]]","[[0.4005, 2748.59]]",2022-11-24 02:40:48.711,817833133,MANA,USD,75.8,0.4002,794.9,0.4005,2748.59
MATIC/USD,"[[0.8777, 854.4]]","[[0.8781, 854.1]]",2022-11-24 02:40:48.781,1331259517,MATIC,USD,69.6,0.8777,854.4,0.8781,854.1
POLY/USD,[],[],2022-11-24 02:40:48.849,9056208,POLY,USD,68.0,,,,
SOL/USD,"[[14.6554, 35.0]]","[[14.6684, 40.0]]",2022-11-24 02:40:48.920,1567953474,SOL,USD,70.8,14.6554,35.0,14.6684,40.0
TRX/USD,"[[0.0519, 478.9]]","[[0.052, 81283.4]]",2022-11-24 02:40:48.990,23323822,TRX,USD,70.6,0.0519,478.9,0.052,81283.4
USDC/USD,"[[0.9997, 259027.74]]","[[0.9998, 810144.56]]",2022-11-24 02:40:49.069,24309054,USDC,USD,78.7,0.9997,259027.74,0.9998,810144.56
USDT/USD,"[[0.9987, 603306.99]]","[[0.9988, 563321.56]]",2022-11-24 02:40:49.143,73958224,USDT,USD,73.9,0.9987,603306.99,0.9988,563321.56
UST/USD,[],[],2022-11-24 02:40:49.212,3225972,UST,USD,69.5,,,,
XRP/USD,[],[],2022-11-24 02:40:49.282,119696569,XRP,USD,69.9,,,,
ADA/USDT,"[[0.31871, 2155.9]]","[[0.31894, 578.8]]",2022-11-24 02:40:49.355,704650688,ADA,USDT,73.0,0.31871,2155.9,0.31894,578.8
BNB/USDT,"[[297.9892, 1.8]]","[[298.3153, 1.7]]",2022-11-24 02:40:49.425,832702392,BNB,USDT,69.9,297.9892,1.8,298.3153,1.7
BTC/USDT,"[[16690.87, 0.059968]]","[[16695.35, 0.13614]]",2022-11-24 02:40:49.493,1509995500,BTC,USDT,68.1,16690.87,0.059968,16695.35,0.13614
