,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
BTC/USD,"[[23026.94, 0.03]]","[[23033.37, 0.03]]",2022-07-21 22:39:00.216,2266320929,BTC,USD,59.0,23026.94,0.03,23033.37,0.03
BUSD/USD,"[[0.9999, 416760.63]]","[[1.0, 406914.53]]",2022-07-21 22:39:00.278,10595727,BUSD,USD,62.8,0.9999,416760.63,1.0,406914.53
ETH/USD,"[[1575.1, 0.0764]]","[[1575.26, 1.61]]",2022-07-21 22:39:00.340,1942173810,ETH,USD,61.3,1575.1,0.0764,1575.26,1.61
USDC/USD,"[[0.9999, 295967.24]]","[[1.0, 246270.99]]",2022-07-21 22:39:00.399,23202661,USDC,USD,59.3,0.9999,295967.24,1.0,246270.99
USDT/USD,"[[1.0, 72996.47]]","[[1.0002, 35888.38]]",2022-07-21 22:39:00.461,65709953,USDT,USD,62.4,1.0,72996.47,1.0002,35888.38
UST/USD,[],[],2022-07-21 22:39:00.529,3225972,UST,USD,67.7,,,,
BTC/USDT,"[[23023.52, 0.09]]","[[23032.02, 0.09]]",2022-07-21 22:39:00.603,1232242370,BTC,USDT,73.5,23023.52,0.09,23032.02,0.09
BUSD/USDT,"[[0.9999, 69076.71]]","[[1.0, 222021.99]]",2022-07-21 22:39:00.666,3684958,BUSD,USDT,63.5,0.9999,69076.71,1.0,222021.99
ETH/USDT,"[[1574.7, 0.75]]","[[1574.96, 1.58764]]",2022-07-21 22:39:00.731,1146723781,ETH,USDT,64.5,1574.7,0.75,1574.96,1.58764
USDC/USDT,"[[0.9999, 278355.0]]","[[1.0, 281164.0]]",2022-07-21 22:39:00.792,1270284,USDC,USDT,61.8,0.9999,278355.0,1.0,281164.0
UST/USDT,[],[],2022-07-21 22:39:00.854,1960270,UST,USDT,61.8,,,,
ETH/BTC,"[[0.068379, 0.23]]","[[0.068397, 0.024]]",2022-07-21 22:39:00.914,390873442,ETH,BTC,59.9,0.068379,0.23,0.068397,0.024
BTC/BUSD,"[[23024.65, 0.003039]]","[[23049.15, 0.116369]]",2022-07-21 22:39:00.974,567205058,BTC,BUSD,59.6,23024.65,0.003039,23049.15,0.116369
ETH/BUSD,"[[1574.94, 0.225]]","[[1576.43, 0.59187]]",2022-07-21 22:39:01.043,417833287,ETH,BUSD,69.3,1574.94,0.225,1576.43,0.59187
USDC/BUSD,"[[0.9998, 309953.03]]","[[1.0001, 370506.53]]",2022-07-21 22:39:01.111,642384,USDC,BUSD,67.6,0.9998,309953.03,1.0001,370506.53
BTC/USDC,"[[23027.83, 0.002996]]","[[23051.15, 0.053808]]",2022-07-21 22:39:01.173,263824588,BTC,USDC,62.2,23027.83,0.002996,23051.15,0.053808
ETH/USDC,"[[1575.19, 0.22]]","[[1577.53, 0.318]]",2022-07-21 22:39:01.234,85858374,ETH,USDC,61.3,1575.19,0.22,1577.53,0.318
BTC/UST,[],[],2022-07-21 22:39:01.296,2296799,BTC,UST,62.1,,,,
