,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5109, 2200.0]]","[[0.5111, 800.0]]",2022-08-06 23:57:48.896,1069171572,ADA,USD,72.1,0.5109,2200.0,0.5111,800.0
ALGO/USD,"[[0.349, 8131.391]]","[[0.35, 3198.473]]",2022-08-06 23:57:48.965,313704033,ALGO,USD,69.1,0.349,8131.391,0.35,3198.473
ATOM/USD,"[[10.628, 23.0]]","[[10.635, 46.507]]",2022-08-06 23:57:49.032,748939809,ATOM,USD,67.5,10.628,23.0,10.635,46.507
AVAX/USD,"[[26.68, 33.37]]","[[26.7, 24.0]]",2022-08-06 23:57:49.103,270026838,AVAX,USD,70.9,26.68,33.37,26.7,24.0
BCH/USD,"[[141.55, 0.95]]","[[141.96, 0.7]]",2022-08-06 23:57:49.172,716081670,BCH,USD,69.0,141.55,0.95,141.96,0.7
BNB/USD,"[[315.1671, 0.04]]","[[315.2126, 1.177]]",2022-08-06 23:57:49.241,1434082834,BNB,USD,68.4,315.1671,0.04,315.2126,1.177
BTC/USD,"[[22949.47, 0.271496]]","[[22956.15, 0.06798]]",2022-08-06 23:57:49.311,2355123171,BTC,USD,69.9,22949.47,0.271496,22956.15,0.06798
BUSD/USD,"[[1.0, 695561.24]]","[[1.0001, 621454.24]]",2022-08-06 23:57:49.379,10784338,BUSD,USD,68.5,1.0,695561.24,1.0001,621454.24
DOT/USD,"[[8.5, 2273.43]]","[[8.52, 103.84]]",2022-08-06 23:57:49.452,133030044,DOT,USD,72.9,8.5,2273.43,8.52,103.84
EOS/USD,"[[1.2243, 637.88]]","[[1.2279, 244.32]]",2022-08-06 23:57:49.523,296089740,EOS,USD,70.6,1.2243,637.88,1.2279,244.32
ETH/USD,"[[1690.59, 1.45]]","[[1690.76, 0.07514]]",2022-08-06 23:57:49.591,2010056948,ETH,USD,68.2,1690.59,1.45,1690.76,0.07514
LINK/USD,"[[7.797, 35.0]]","[[7.8013, 35.0]]",2022-08-06 23:57:49.661,1019740795,LINK,USD,70.6,7.797,35.0,7.8013,35.0
LPT/USD,"[[11.63, 46.42]]","[[11.67, 51.01]]",2022-08-06 23:57:49.730,17634119,LPT,USD,68.0,11.63,46.42,11.67,51.01
LRC/USD,"[[0.4328, 760.0]]","[[0.4338, 735.0]]",2022-08-06 23:57:49.798,92691537,LRC,USD,68.0,0.4328,760.0,0.4338,735.0
LTC/USD,"[[60.81, 4.0]]","[[60.89, 6.4]]",2022-08-06 23:57:49.870,699366586,LTC,USD,72.5,60.81,4.0,60.89,6.4
MANA/USD,"[[1.0483, 240.0]]","[[1.0493, 240.0]]",2022-08-06 23:57:49.939,745601776,MANA,USD,68.5,1.0483,240.0,1.0493,240.0
MATIC/USD,"[[0.9076, 900.0]]","[[0.9078, 996.1]]",2022-08-06 23:57:50.007,1124660766,MATIC,USD,68.7,0.9076,900.0,0.9078,996.1
NEAR/USD,"[[4.91, 95.0]]","[[4.914, 156.0]]",2022-08-06 23:57:50.078,161277211,NEAR,USD,70.3,4.91,95.0,4.914,156.0
