,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-09 02:51:23.655,ETH,BTC,0.070842,0.2,0.070871,1.1005
1,BNB/BTC,2023-03-09 02:51:23.721,BNB,BTC,0.013336,3.0,0.013353,0.068
2,ADA/BTC,2023-03-09 02:51:23.789,ADA,BTC,1.465e-05,1000.0,1.467e-05,956.3
3,SOL/BTC,2023-03-09 02:51:23.858,SOL,BTC,0.0008542,3.92,0.0008561,14.89
4,MATIC/BTC,2023-03-09 02:51:23.920,MATIC,BTC,4.901e-05,144.9,4.912e-05,144.9
5,MANA/BTC,2023-03-09 02:51:23.986,MANA,BTC,2.534e-05,2018.0,2.542e-05,826.0
6,TRX/BTC,2023-03-09 02:51:24.050,TRX,BTC,3.01e-06,6346.0,3.02e-06,13037.0
7,ADA/ETH,2023-03-09 02:51:24.121,ADA,ETH,0.0002066,993.2,0.000207,228.9
8,BTC/USDT,2023-03-09 02:51:24.186,BTC,USDT,21771.49,0.03224,21777.69,0.03224
9,ETH/USDT,2023-03-09 02:51:24.253,ETH,USDT,1542.55,1.2,1543.07,1.7
10,BNB/USDT,2023-03-09 02:51:24.329,BNB,USDT,290.5,1.853,290.6,2.67
11,ADA/USDT,2023-03-09 02:51:24.397,ADA,USDT,0.3189,2300.0,0.319,1150.0
12,BUSD/USDT,2023-03-09 02:51:24.468,BUSD,USDT,0.9996,327823.0,1.0001,325277.0
13,SOL/USDT,2023-03-09 02:51:24.534,SOL,USDT,18.62,44.35,18.63,61.84
14,USDC/USDT,2023-03-09 02:51:24.597,USDC,USDT,0.9999,325901.0,1.0002,287876.0
15,MATIC/USDT,2023-03-09 02:51:24.664,MATIC,USDT,1.0681,702.1,1.0697,712.4
16,MANA/USDT,2023-03-09 02:51:24.731,MANA,USDT,0.5523,538.0,0.5531,1553.0
17,TRX/USDT,2023-03-09 02:51:24.796,TRX,USDT,0.06555,11441.2,0.0656,11434.2
18,BTC/BUSD,2023-03-09 02:51:24.928,BTC,BUSD,21770.22,0.025,21774.75,0.05
19,BNB/BUSD,2023-03-09 02:51:25.001,BNB,BUSD,290.4,3.581,290.8,13.334
20,ETH/BUSD,2023-03-09 02:51:25.065,ETH,BUSD,1542.47,0.58,1542.95,0.58
21,MATIC/BUSD,2023-03-09 02:51:25.130,MATIC,BUSD,1.068,351.0,1.0689,631.4
22,USDC/BUSD,2023-03-09 02:51:25.196,USDC,BUSD,0.9996,272795.26,0.9999,327646.59
23,MANA/BUSD,2023-03-09 02:51:25.273,MANA,BUSD,0.5518,2504.0,0.5535,822.0
24,ADA/BUSD,2023-03-09 02:51:25.340,ADA,BUSD,0.3187,2916.1,0.3193,20363.3
25,SOL/BUSD,2023-03-09 02:51:25.413,SOL,BUSD,18.59,108.51,18.65,109.05
26,TRX/BUSD,2023-03-09 02:51:25.483,TRX,BUSD,0.06555,1144.0,0.06559,11434.7
27,BTC/USDC,2023-03-09 02:51:25.548,BTC,USDC,21768.32,0.01484,21773.88,0.0285
28,ETH/USDC,2023-03-09 02:51:25.614,ETH,USDC,1542.25,0.25,1542.78,0.25
29,SOL/USDC,2023-03-09 02:51:25.680,SOL,USDC,18.61,80.59,18.65,428.93
30,ADA/USDC,2023-03-09 02:51:25.751,ADA,USDC,0.3185,10415.6,0.3192,8458.8
31,BTC/DAI,2023-03-09 02:51:25.815,BTC,DAI,21756.79,0.05025,21795.15,0.04483
32,ETH/DAI,2023-03-09 02:51:25.882,ETH,DAI,1541.89,0.4968,1543.99,0.4492
33,BTC/USD,2023-03-09 02:51:26.025,BTC,USD,21769.81,0.175,21774.5,0.04
34,ETH/USD,2023-03-09 02:51:26.096,ETH,USD,1542.36,1.58,1542.7,1.58
35,USDT/USD,2023-03-09 02:51:26.167,USDT,USD,0.9998,87795.0,0.9999,996760.0
36,BNB/USD,2023-03-09 02:51:26.233,BNB,USD,290.5,0.318,290.6,8.75
37,ADA/USD,2023-03-09 02:51:26.301,ADA,USD,0.3189,3400.0,0.319,2465.9
38,BUSD/USD,2023-03-09 02:51:26.377,BUSD,USD,0.9997,513743.0,0.9999,1079301.0
39,MATIC/USD,2023-03-09 02:51:26.447,MATIC,USD,1.0683,335.0,1.0687,966.5
40,USDC/USD,2023-03-09 02:51:26.516,USDC,USD,1.0,33271.76,1.0001,499668.44
41,MANA/USD,2023-03-09 02:51:26.580,MANA,USD,0.5524,200.0,0.5531,1619.0
42,DAI/USD,2023-03-09 02:51:26.651,DAI,USD,0.9959,12037.2,1.0002,40363.86
43,SOL/USD,2023-03-09 02:51:26.718,SOL,USD,18.62,62.98,18.63,355.61
44,TRX/USD,2023-03-09 02:51:26.783,TRX,USD,0.06555,10552.7,0.06559,11434.7
