,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-09 04:21:07.271,ETH,BTC,0.070761,0.208,0.070804,1.3
1,BNB/BTC,2023-03-09 04:21:07.337,BNB,BTC,0.013324,3.0,0.013338,3.165
2,ADA/BTC,2023-03-09 04:21:07.403,ADA,BTC,1.464e-05,645.0,1.468e-05,958.6
3,SOL/BTC,2023-03-09 04:21:07.470,SOL,BTC,0.0008504,36.79,0.0008527,15.04
4,MATIC/BTC,2023-03-09 04:21:07.536,MATIC,BTC,4.877e-05,450.0,4.887e-05,645.8
5,MANA/BTC,2023-03-09 04:21:07.607,MANA,BTC,2.537e-05,52.0,2.54e-05,1029.0
6,TRX/BTC,2023-03-09 04:21:07.678,TRX,BTC,3.02e-06,4723.0,3.03e-06,14725.0
7,ADA/ETH,2023-03-09 04:21:07.746,ADA,ETH,0.0002064,998.7,0.0002065,0.4
8,BTC/USDT,2023-03-09 04:21:07.811,BTC,USDT,21740.84,0.03902,21743.47,0.01502
9,ETH/USDT,2023-03-09 04:21:07.880,ETH,USDT,1538.77,1.2,1539.36,1.7
10,BNB/USDT,2023-03-09 04:21:07.947,BNB,USDT,289.7,16.317,289.8,1.9
11,ADA/USDT,2023-03-09 04:21:08.010,ADA,USDT,0.3185,3869.7,0.3186,2362.7
12,BUSD/USDT,2023-03-09 04:21:08.079,BUSD,USDT,0.9996,327823.0,1.0001,325277.0
13,SOL/USDT,2023-03-09 04:21:08.144,SOL,USDT,18.51,44.51,18.52,62.0
14,USDC/USDT,2023-03-09 04:21:08.216,USDC,USDT,1.0,282130.0,1.0004,291727.0
15,MATIC/USDT,2023-03-09 04:21:08.281,MATIC,USDT,1.0609,455.6,1.0614,423.3
16,MANA/USDT,2023-03-09 04:21:08.350,MANA,USDT,0.5508,51.0,0.551,3160.0
17,TRX/USDT,2023-03-09 04:21:08.413,TRX,USDT,0.06573,11411.2,0.06578,11402.7
18,BTC/BUSD,2023-03-09 04:21:08.591,BTC,BUSD,21738.49,0.025,21743.73,0.025
19,BNB/BUSD,2023-03-09 04:21:08.653,BNB,BUSD,289.7,5.141,289.9,1.724
20,ETH/BUSD,2023-03-09 04:21:08.729,ETH,BUSD,1538.54,0.29,1539.21,0.58
21,MATIC/BUSD,2023-03-09 04:21:08.909,MATIC,BUSD,1.0608,141.4,1.0616,806.3
22,USDC/BUSD,2023-03-09 04:21:09.093,USDC,BUSD,0.9996,272795.26,0.9999,327646.59
23,MANA/BUSD,2023-03-09 04:21:09.275,MANA,BUSD,0.5496,1691.0,0.5514,3465.0
24,ADA/BUSD,2023-03-09 04:21:09.350,ADA,BUSD,0.3183,2921.3,0.3189,995.9
25,SOL/BUSD,2023-03-09 04:21:09.415,SOL,BUSD,18.49,107.14,18.54,219.1
26,TRX/BUSD,2023-03-09 04:21:09.479,TRX,BUSD,0.06572,6847.0,0.06578,34205.4
27,BTC/USDC,2023-03-09 04:21:09.546,BTC,USDC,21737.04,0.0285,21743.18,0.04599
28,ETH/USDC,2023-03-09 04:21:09.615,ETH,USDC,1538.36,0.2,1539.29,0.25
29,SOL/USDC,2023-03-09 04:21:09.685,SOL,USDC,18.5,108.07,18.53,269.82
30,ADA/USDC,2023-03-09 04:21:09.748,ADA,USDC,0.3183,9424.0,0.3191,8461.4
31,BTC/DAI,2023-03-09 04:21:09.819,BTC,DAI,21726.44,0.12133,21764.09,0.04476
32,ETH/DAI,2023-03-09 04:21:09.892,ETH,DAI,1538.3,0.5028,1540.83,0.4515
33,BTC/USD,2023-03-09 04:21:10.024,BTC,USD,21738.69,0.1837,21742.48,0.00744
34,ETH/USD,2023-03-09 04:21:10.091,ETH,USD,1538.83,0.78,1539.02,1.58
35,USDT/USD,2023-03-09 04:21:10.160,USDT,USD,0.9998,203839.0,0.9999,1045894.0
36,BNB/USD,2023-03-09 04:21:10.232,BNB,USD,289.7,6.993,289.8,1.65
37,ADA/USD,2023-03-09 04:21:10.303,ADA,USD,0.3185,21001.3,0.3186,2254.5
38,BUSD/USD,2023-03-09 04:21:10.370,BUSD,USD,0.9997,505415.0,0.9999,1055109.0
39,MATIC/USD,2023-03-09 04:21:10.441,MATIC,USD,1.0609,68.0,1.061,670.0
40,USDC/USD,2023-03-09 04:21:10.506,USDC,USD,0.9999,26805.03,1.0,226354.01
41,MANA/USD,2023-03-09 04:21:10.576,MANA,USD,0.5503,200.0,0.551,1520.0
42,DAI/USD,2023-03-09 04:21:10.641,DAI,USD,0.9956,11915.87,0.9999,39939.44
43,SOL/USD,2023-03-09 04:21:10.710,SOL,USD,18.5,64.31,18.51,41.5
44,TRX/USD,2023-03-09 04:21:10.779,TRX,USD,0.06572,6987.6,0.06579,26602.9
