,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.3184, 3768.5]]","[[0.3188, 17080.2]]",2022-11-24 02:38:45.793,1178440914,ADA,USD,64.6,0.3184,3768.5,0.3188,17080.2
BNB/USD,"[[297.6562, 1.007]]","[[298.1107, 1.0]]",2022-11-24 02:38:45.862,1554445965,BNB,USD,68.6,297.6562,1.007,298.1107,1.0
BTC/USD,"[[16686.72, 0.012517]]","[[16689.33, 0.003744]]",2022-11-24 02:38:45.933,2845240934,BTC,USD,71.0,16686.72,0.012517,16689.33,0.003744
BUSD/USD,"[[1.0, 581978.35]]","[[1.0001, 749545.4]]",2022-11-24 02:38:46.006,11978618,BUSD,USD,72.9,1.0,581978.35,1.0001,749545.4
ETH/USD,"[[1200.18, 0.4]]","[[1200.83, 1.08]]",2022-11-24 02:38:46.082,2364903906,ETH,USD,76.3,1200.18,0.4,1200.83,1.08
MANA/USD,"[[0.4008, 663.87]]","[[0.4011, 2158.91]]",2022-11-24 02:38:46.152,817831230,MANA,USD,70.2,0.4008,663.87,0.4011,2158.91
MATIC/USD,"[[0.8787, 284.4]]","[[0.8791, 1409.4]]",2022-11-24 02:38:46.222,1331255272,MATIC,USD,69.7,0.8787,284.4,0.8791,1409.4
POLY/USD,[],[],2022-11-24 02:38:46.291,9056208,POLY,USD,69.0,,,,
SOL/USD,"[[14.6934, 9.0]]","[[14.7105, 40.0]]",2022-11-24 02:38:46.360,1567949804,SOL,USD,69.1,14.6934,9.0,14.7105,40.0
TRX/USD,"[[0.0519, 8966.9]]","[[0.052, 81283.4]]",2022-11-24 02:38:46.428,23323494,TRX,USD,67.9,0.0519,8966.9,0.052,81283.4
USDC/USD,"[[0.9997, 262606.92]]","[[0.9998, 810144.56]]",2022-11-24 02:38:46.496,24309044,USDC,USD,67.1,0.9997,262606.92,0.9998,810144.56
USDT/USD,"[[0.9987, 603507.3]]","[[0.9988, 564411.81]]",2022-11-24 02:38:46.561,73958201,USDT,USD,65.7,0.9987,603507.3,0.9988,564411.81
UST/USD,[],[],2022-11-24 02:38:46.651,3225972,UST,USD,89.6,,,,
XRP/USD,[],[],2022-11-24 02:38:46.727,119696569,XRP,USD,76.1,,,,
ADA/USDT,"[[0.31882, 670.0]]","[[0.31911, 1572.9]]",2022-11-24 02:38:46.823,704650174,ADA,USDT,95.8,0.31882,670.0,0.31911,1572.9
BNB/USDT,"[[298.0275, 1.9]]","[[298.3994, 1.8]]",2022-11-24 02:38:46.898,832701653,BNB,USDT,74.8,298.0275,1.9,298.3994,1.8
BTC/USDT,"[[16701.99, 0.379557]]","[[16708.09, 0.059907]]",2022-11-24 02:38:46.966,1509993009,BTC,USDT,68.6,16701.99,0.379557,16708.09,0.059907
BUSD/USDT,"[[1.0012, 296267.01]]","[[1.0013, 304635.41]]",2022-11-24 02:38:47.051,4090522,BUSD,USDT,84.8,1.0012,296267.01,1.0013,304635.41
ETH/USDT,"[[1201.17, 2.69297]]","[[1202.28, 1.14394]]",2022-11-24 02:38:47.123,1358860383,ETH,USDT,71.7,1201.17,2.69297,1202.28,1.14394
MANA/USDT,"[[0.4012, 25.0]]","[[0.4019, 1284.0]]",2022-11-24 02:38:47.193,62874167,MANA,USDT,70.1,0.4012,25.0,0.4019,1284.0
MATIC/USDT,"[[0.879, 910.8]]","[[0.88, 6788.1]]",2022-11-24 02:38:47.262,67800427,MATIC,USDT,69.5,0.879,910.8,0.88,6788.1
POLY/USDT,[],[],2022-11-24 02:38:47.335,6429306,POLY,USDT,72.0,,,,
SOL/USDT,"[[14.7013, 3.39]]","[[14.7303, 17.12]]",2022-11-24 02:38:47.422,661296244,SOL,USDT,87.8,14.7013,3.39,14.7303,17.12
TRX/USDT,"[[0.05192, 17594.6]]","[[0.052, 1005.8]]",2022-11-24 02:38:47.490,32640682,TRX,USDT,68.1,0.05192,17594.6,0.052,1005.8
USDC/USDT,"[[1.001, 289244.0]]","[[1.0013, 267296.0]]",2022-11-24 02:38:47.560,1656273,USDC,USDT,69.6,1.001,289244.0,1.0013,267296.0
UST/USDT,[],[],2022-11-24 02:38:47.659,1960270,UST,USDT,99.2,,,,
XRP/USDT,[],[],2022-11-24 02:38:47.738,100846158,XRP,USDT,78.9,,,,
ADA/BTC,"[[1.908e-05, 4373.0]]","[[1.909e-05, 406.0]]",2022-11-24 02:38:47.835,134044654,ADA,BTC,97.0,1.908e-05,4373.0,1.909e-05,406.0
BNB/BTC,"[[0.0178413, 0.11]]","[[0.01785, 47.49]]",2022-11-24 02:38:47.905,258176911,BNB,BTC,69.7,0.0178413,0.11,0.01785,47.49
ETH/BTC,"[[0.071923, 1.117]]","[[0.071956, 0.053]]",2022-11-24 02:38:47.974,463111598,ETH,BTC,69.1,0.071923,1.117,0.071956,0.053
MANA/BTC,"[[2.4e-05, 597.0]]","[[2.406e-05, 656.0]]",2022-11-24 02:38:48.051,18105231,MANA,BTC,77.1,2.4e-05,597.0,2.406e-05,656.0
MATIC/BTC,"[[5.262e-05, 2847.4]]","[[5.268e-05, 1709.5]]",2022-11-24 02:38:48.129,26926516,MATIC,BTC,78.3,5.262e-05,2847.4,5.268e-05,1709.5
POLY/BTC,[],[],2022-11-24 02:38:48.201,4620363,POLY,BTC,71.4,,,,
SOL/BTC,"[[0.0008798, 34.05]]","[[0.0008819, 50.89]]",2022-11-24 02:38:48.271,87496900,SOL,BTC,70.0,0.0008798,34.05,0.0008819,50.89
