,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
BTC/USD,"[[19188.53, 0.03]]","[[19192.09, 0.019899]]",2022-09-26 19:04:10.179,2568685455,BTC,USD,211.6,19188.53,0.03,19192.09,0.019899
BUSD/USD,"[[1.0, 895347.12]]","[[1.0001, 730254.27]]",2022-09-26 19:04:10.255,11295641,BUSD,USD,75.6,1.0,895347.12,1.0001,730254.27
ETH/USD,"[[1333.52, 0.3925]]","[[1333.91, 1.3]]",2022-09-26 19:04:10.335,2202008317,ETH,USD,80.1,1333.52,0.3925,1333.91,1.3
USDC/USD,"[[0.9998, 626016.3]]","[[0.9999, 471671.45]]",2022-09-26 19:04:10.443,23844897,USDC,USD,108.5,0.9998,626016.3,0.9999,471671.45
USDT/USD,"[[0.9999, 642948.4]]","[[1.0, 757638.59]]",2022-09-26 19:04:10.501,72215050,USDT,USD,57.4,0.9999,642948.4,1.0,757638.59
UST/USD,[],[],2022-09-26 19:04:10.558,3225972,UST,USD,57.0,,,,
BTC/USDT,"[[19190.27, 0.085]]","[[19194.8, 0.01607]]",2022-09-26 19:04:10.615,1383109588,BTC,USDT,57.5,19190.27,0.085,19194.8,0.01607
BUSD/USDT,"[[1.0, 21350.93]]","[[1.0001, 318314.67]]",2022-09-26 19:04:10.672,3912044,BUSD,USDT,56.7,1.0,21350.93,1.0001,318314.67
ETH/USDT,"[[1333.97, 0.55]]","[[1334.12, 0.50367]]",2022-09-26 19:04:10.763,1281822272,ETH,USDT,91.5,1333.97,0.55,1334.12,0.50367
USDC/USDT,"[[0.9999, 385524.0]]","[[1.0, 310986.0]]",2022-09-26 19:04:10.820,1379787,USDC,USDT,56.3,0.9999,385524.0,1.0,310986.0
UST/USDT,[],[],2022-09-26 19:04:10.875,1960270,UST,USDT,55.7,,,,
ETH/BTC,"[[0.069494, 0.26]]","[[0.069515, 0.26]]",2022-09-26 19:04:10.938,450487447,ETH,BTC,63.0,0.069494,0.26,0.069515,0.26
BTC/BUSD,"[[19189.0, 0.02]]","[[19197.32, 0.02]]",2022-09-26 19:04:11.002,618690267,BTC,BUSD,64.1,19189.0,0.02,19197.32,0.02
ETH/BUSD,"[[1333.95, 0.19]]","[[1334.53, 0.19]]",2022-09-26 19:04:11.081,475870760,ETH,BUSD,78.8,1333.95,0.19,1334.53,0.19
USDC/BUSD,"[[0.9999, 306363.06]]","[[1.0001, 359677.77]]",2022-09-26 19:04:11.189,661487,USDC,BUSD,108.0,0.9999,306363.06,1.0001,359677.77
BTC/USDC,"[[19189.16, 0.0325]]","[[19196.88, 0.026]]",2022-09-26 19:04:11.246,349908453,BTC,USDC,56.3,19189.16,0.0325,19196.88,0.026
ETH/USDC,"[[1333.95, 0.19]]","[[1334.33, 0.3616]]",2022-09-26 19:04:11.302,133589751,ETH,USDC,56.6,1333.95,0.19,1334.33,0.3616
BTC/UST,[],[],2022-09-26 19:04:11.359,2296799,BTC,UST,56.4,,,,
