,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-03 01:47:13.112,ETH,BTC,0.069758,0.067,0.069781,0.1
1,BNB/BTC,2023-03-03 01:47:13.167,BNB,BTC,0.012918,3.185,0.01294,3.9
2,ADA/BTC,2023-03-03 01:47:13.222,ADA,BTC,1.474e-05,10.3,1.477e-05,6.8
3,SOL/BTC,2023-03-03 01:47:13.277,SOL,BTC,0.0009233,26.73,0.0009262,45.04
4,MATIC/BTC,2023-03-03 01:47:13.333,MATIC,BTC,5.091e-05,627.6,5.099e-05,350.9
5,MANA/BTC,2023-03-03 01:47:13.391,MANA,BTC,2.593e-05,1038.0,2.6e-05,549.0
6,TRX/BTC,2023-03-03 01:47:13.446,TRX,BTC,3.01e-06,6974.0,3.02e-06,8322.0
7,ADA/ETH,2023-03-03 01:47:13.558,ADA,ETH,0.0002112,2242.5,0.0002117,1972.4
8,BTC/USDT,2023-03-03 01:47:13.612,BTC,USDT,22329.99,0.15062,22334.95,0.27095
9,ETH/USDT,2023-03-03 01:47:13.711,ETH,USDT,1557.96,1.9,1559.62,0.4463
10,BNB/USDT,2023-03-03 01:47:13.770,BNB,USDT,288.7,1.7,288.9,0.85
11,ADA/USDT,2023-03-03 01:47:13.829,ADA,USDT,0.3293,2100.0,0.3296,2209.3
12,BUSD/USDT,2023-03-03 01:47:13.888,BUSD,USDT,0.9997,302539.0,0.9999,323102.0
13,SOL/USDT,2023-03-03 01:47:13.944,SOL,USDT,20.62,22.0,20.67,22.0
14,USDC/USDT,2023-03-03 01:47:13.999,USDC,USDT,0.9996,289963.0,1.0,325898.0
15,MATIC/USDT,2023-03-03 01:47:14.054,MATIC,USDT,1.1376,200.0,1.14,767.6
16,MANA/USDT,2023-03-03 01:47:14.119,MANA,USDT,0.5785,804.0,0.5807,1146.0
17,TRX/USDT,2023-03-03 01:47:14.176,TRX,USDT,0.0672,6268.3,0.06728,13996.4
18,BTC/BUSD,2023-03-03 01:47:14.288,BTC,BUSD,22327.38,0.021,22350.25,0.021
19,BNB/BUSD,2023-03-03 01:47:14.342,BNB,BUSD,288.5,12.694,289.1,1.3
20,ETH/BUSD,2023-03-03 01:47:14.397,ETH,BUSD,1558.15,0.5,1558.89,0.2417
21,MATIC/BUSD,2023-03-03 01:47:14.456,MATIC,BUSD,1.1368,602.9,1.1407,2191.6
22,USDC/BUSD,2023-03-03 01:47:14.511,USDC,BUSD,0.9997,313790.44,0.9998,282672.95
23,MANA/BUSD,2023-03-03 01:47:14.570,MANA,BUSD,0.5789,816.0,0.5812,791.0
24,ADA/BUSD,2023-03-03 01:47:14.623,ADA,BUSD,0.3289,1804.3,0.33,1584.3
25,SOL/BUSD,2023-03-03 01:47:14.678,SOL,BUSD,20.59,14.89,20.7,21.64
26,TRX/BUSD,2023-03-03 01:47:14.734,TRX,BUSD,0.06723,2230.9,0.06731,5571.8
27,BTC/USDC,2023-03-03 01:47:14.790,BTC,USDC,22330.24,0.025,22347.37,0.05
28,ETH/USDC,2023-03-03 01:47:14.846,ETH,USDC,1558.13,0.0128,1560.73,0.215
29,SOL/USDC,2023-03-03 01:47:14.903,SOL,USDC,20.59,124.93,20.7,44.64
30,ADA/USDC,2023-03-03 01:47:14.962,ADA,USDC,0.3292,3270.7,0.33,797.8
31,BTC/DAI,2023-03-03 01:47:15.048,BTC,DAI,22327.39,0.09002,22366.85,0.09026
32,ETH/DAI,2023-03-03 01:47:15.106,ETH,DAI,1557.45,0.8888,1559.82,0.9037
33,BTC/USD,2023-03-03 01:47:15.214,BTC,USD,22334.34,0.00029,22344.74,0.37
34,ETH/USD,2023-03-03 01:47:15.268,ETH,USD,1559.14,0.008,1559.97,4.3
35,USDT/USD,2023-03-03 01:47:15.324,USDT,USD,1.0004,248755.0,1.0005,3995.0
36,BNB/USD,2023-03-03 01:47:15.380,BNB,USD,288.9,1.05,289.0,1.32
37,ADA/USD,2023-03-03 01:47:15.435,ADA,USD,0.3295,1450.0,0.3299,2900.0
38,BUSD/USD,2023-03-03 01:47:15.489,BUSD,USD,0.9997,3563.0,0.9998,657458.0
39,MATIC/USD,2023-03-03 01:47:15.588,MATIC,USD,1.1385,710.0,1.1392,710.0
40,USDC/USD,2023-03-03 01:47:15.644,USDC,USD,0.9998,884.26,1.0,313857.19
41,MANA/USD,2023-03-03 01:47:15.698,MANA,USD,0.5797,1159.0,0.5805,820.0
42,DAI/USD,2023-03-03 01:47:15.758,DAI,USD,0.9991,4523.44,1.0001,0.04
43,SOL/USD,2023-03-03 01:47:15.814,SOL,USD,20.63,0.94,20.7,0.01
44,TRX/USD,2023-03-03 01:47:15.869,TRX,USD,0.0672,7177.8,0.0673,5572.0
