,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4484, 2000.0]]","[[0.4487, 1200.0]]",2022-07-05 16:00:37.905,1021558040,ADA,USD,62.4,0.4484,2000.0,0.4487,1200.0
BNB/USD,"[[224.8455, 0.177]]","[[224.9572, 0.177]]",2022-07-05 16:00:37.969,1337558459,BNB,USD,63.8,224.8455,0.177,224.9572,0.177
BTC/USD,"[[19498.54, 0.051839]]","[[19501.49, 0.026951]]",2022-07-05 16:00:38.033,2157615375,BTC,USD,64.2,19498.54,0.051839,19501.49,0.026951
BUSD/USD,"[[0.9999, 11660.21]]","[[1.0001, 32526.26]]",2022-07-05 16:00:38.099,10406359,BUSD,USD,66.1,0.9999,11660.21,1.0001,32526.26
ETH/USD,"[[1091.42, 1.4]]","[[1091.58, 0.06604]]",2022-07-05 16:00:38.161,1876674880,ETH,USD,61.9,1091.42,1.4,1091.58,0.06604
MANA/USD,"[[0.8477, 300.0]]","[[0.8485, 300.0]]",2022-07-05 16:00:38.226,706569321,MANA,USD,64.5,0.8477,300.0,0.8485,300.0
MATIC/USD,"[[0.4968, 502.9]]","[[0.497, 900.0]]",2022-07-05 16:00:38.294,1034271921,MATIC,USD,68.3,0.4968,502.9,0.497,900.0
POLY/USD,"[[0.1895, 1695.5]]","[[0.19, 244.0]]",2022-07-05 16:00:38.362,5329527,POLY,USD,67.8,0.1895,1695.5,0.19,244.0
SOL/USD,"[[33.8076, 11.82]]","[[33.8268, 6.42]]",2022-07-05 16:00:38.429,1207640355,SOL,USD,66.7,33.8076,11.82,33.8268,6.42
TRX/USD,"[[0.0668, 139918.4]]","[[0.067, 62914.6]]",2022-07-05 16:00:38.497,8025430,TRX,USD,68.0,0.0668,139918.4,0.067,62914.6
USDC/USD,"[[0.9999, 58013.02]]","[[1.0, 365563.62]]",2022-07-05 16:00:38.565,22986606,USDC,USD,68.2,0.9999,58013.02,1.0,365563.62
USDT/USD,"[[0.9987, 64602.13]]","[[0.9989, 26128.86]]",2022-07-05 16:00:38.633,60408829,USDT,USD,67.5,0.9987,64602.13,0.9989,26128.86
UST/USD,[],[],2022-07-05 16:00:38.700,3225972,UST,USD,67.5,,,,
XRP/USD,[],[],2022-07-05 16:00:38.766,119696569,XRP,USD,65.6,,,,
