,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
BTC/USD,"[[23940.88, 0.00539]]","[[23944.18, 0.265]]",2022-08-08 16:49:48.106,2362473344,BTC,USD,62.3,23940.88,0.00539,23944.18,0.265
BUSD/USD,"[[1.0, 702030.92]]","[[1.0001, 760799.3]]",2022-08-08 16:49:48.170,10794186,BUSD,USD,63.8,1.0,702030.92,1.0001,760799.3
ETH/USD,"[[1770.82, 1.55]]","[[1771.25, 3.1]]",2022-08-08 16:49:48.231,2014580649,ETH,USD,61.2,1770.82,1.55,1771.25,3.1
USDC/USD,"[[0.9999, 601437.9]]","[[1.0, 303042.78]]",2022-08-08 16:49:48.290,23395815,USDC,USD,59.6,0.9999,601437.9,1.0,303042.78
USDT/USD,"[[1.0001, 639210.37]]","[[1.0002, 271515.79]]",2022-08-08 16:49:48.350,67857545,USDT,USD,59.6,1.0001,639210.37,1.0002,271515.79
UST/USD,[],[],2022-08-08 16:49:48.412,3225972,UST,USD,61.5,,,,
BTC/USDT,"[[23935.05, 0.135]]","[[23943.7, 0.104397]]",2022-08-08 16:49:48.475,1270276978,BTC,USDT,63.1,23935.05,0.135,23943.7,0.104397
BUSD/USDT,"[[0.9997, 301184.88]]","[[0.9998, 242872.1]]",2022-08-08 16:49:48.536,3802087,BUSD,USDT,61.0,0.9997,301184.88,0.9998,242872.1
ETH/USDT,"[[1770.26, 1.5]]","[[1771.1, 1.0]]",2022-08-08 16:49:48.604,1183715795,ETH,USDT,68.8,1770.26,1.5,1771.1,1.0
USDC/USDT,"[[0.9999, 310783.0]]","[[1.0, 315745.0]]",2022-08-08 16:49:48.670,1324455,USDC,USDT,65.9,0.9999,310783.0,1.0,315745.0
UST/USDT,[],[],2022-08-08 16:49:48.765,1960270,UST,USDT,94.8,,,,
ETH/BTC,"[[0.073959, 0.315]]","[[0.07398, 0.315]]",2022-08-08 16:49:48.837,407582193,ETH,BTC,72.3,0.073959,0.315,0.07398,0.315
BTC/BUSD,"[[23936.36, 0.046]]","[[23945.62, 0.046]]",2022-08-08 16:49:48.906,581561195,BTC,BUSD,68.3,23936.36,0.046,23945.62,0.046
ETH/BUSD,"[[1770.73, 0.34]]","[[1771.3, 0.34]]",2022-08-08 16:49:48.975,437344908,ETH,BUSD,69.1,1770.73,0.34,1771.3,0.34
USDC/BUSD,"[[0.9999, 368499.71]]","[[1.0, 325044.64]]",2022-08-08 16:49:49.035,646836,USDC,BUSD,60.4,0.9999,368499.71,1.0,325044.64
BTC/USDC,"[[23937.54, 0.085]]","[[23944.64, 0.085]]",2022-08-08 16:49:49.098,291647466,BTC,USDC,62.4,23937.54,0.085,23944.64,0.085
ETH/USDC,"[[1770.73, 0.325]]","[[1771.3, 0.325]]",2022-08-08 16:49:49.158,103641415,ETH,USDC,60.0,1770.73,0.325,1771.3,0.325
BTC/UST,[],[],2022-08-08 16:49:49.217,2296799,BTC,UST,59.7,,,,
