,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-11 00:24:43.012,ETH,BTC,0.070703,0.3,0.070733,1.8735
1,BNB/BTC,2023-03-11 00:24:43.080,BNB,BTC,0.013733,2.071,0.013759,4.592
2,ADA/BTC,2023-03-11 00:24:43.158,ADA,BTC,1.561e-05,1089.1,1.564e-05,63.2
3,SOL/BTC,2023-03-11 00:24:43.229,SOL,BTC,0.0008958,15.13,0.0008969,18.67
4,MATIC/BTC,2023-03-11 00:24:43.292,MATIC,BTC,5.209e-05,435.9,5.22e-05,444.6
5,MANA/BTC,2023-03-11 00:24:43.359,MANA,BTC,2.617e-05,200.0,2.622e-05,25.0
6,TRX/BTC,2023-03-11 00:24:43.422,TRX,BTC,2.83e-06,6270.0,2.84e-06,7009.0
7,ADA/ETH,2023-03-11 00:24:43.488,ADA,ETH,0.0002208,1787.0,0.0002214,804.7
8,BTC/USDT,2023-03-11 00:24:43.550,BTC,USDT,20190.79,0.0349,20200.07,0.00941
9,ETH/USDT,2023-03-11 00:24:43.619,ETH,USDT,1427.51,0.5,1428.55,2.2454
10,BNB/USDT,2023-03-11 00:24:43.696,BNB,USDT,277.4,7.463,277.7,0.642
11,ADA/USDT,2023-03-11 00:24:43.764,ADA,USDT,0.3155,1585.7,0.3157,240.0
12,BUSD/USDT,2023-03-11 00:24:43.834,BUSD,USDT,0.9975,5277.0,0.9979,20.0
13,SOL/USDT,2023-03-11 00:24:43.899,SOL,USDT,18.08,25.7,18.11,25.7
14,USDC/USDT,2023-03-11 00:24:43.965,USDC,USDT,0.9969,327961.0,0.9978,1119.0
15,MATIC/USDT,2023-03-11 00:24:44.033,MATIC,USDT,1.0517,412.3,1.0536,139.1
16,MANA/USDT,2023-03-11 00:24:44.104,MANA,USDT,0.5284,1166.0,0.5296,200.0
17,TRX/USDT,2023-03-11 00:24:44.168,TRX,USDT,0.05724,1256.7,0.05734,14170.8
18,BTC/BUSD,2023-03-11 00:24:44.302,BTC,BUSD,20247.23,0.12105,20258.12,0.03
19,BNB/BUSD,2023-03-11 00:24:44.373,BNB,BUSD,278.3,2.481,278.7,2.687
20,ETH/BUSD,2023-03-11 00:24:44.438,ETH,BUSD,1431.13,0.3513,1433.37,0.3
21,MATIC/BUSD,2023-03-11 00:24:44.504,MATIC,BUSD,1.0548,599.2,1.0565,100.0
22,USDC/BUSD,2023-03-11 00:24:44.576,USDC,BUSD,1.0,127076.23,1.0001,295002.43
23,MANA/BUSD,2023-03-11 00:24:44.655,MANA,BUSD,0.53,884.0,0.5314,2037.0
24,ADA/BUSD,2023-03-11 00:24:44.723,ADA,BUSD,0.3162,1008.7,0.3169,3911.5
25,SOL/BUSD,2023-03-11 00:24:44.802,SOL,BUSD,18.14,0.69,18.22,68.61
26,TRX/BUSD,2023-03-11 00:24:44.873,TRX,BUSD,0.05743,7002.6,0.0575,10855.4
27,BTC/USDC,2023-03-11 00:24:44.941,BTC,USDC,20229.83,0.01,20271.19,0.01
28,ETH/USDC,2023-03-11 00:24:45.010,ETH,USDC,1429.16,0.7529,1430.91,0.0002
29,SOL/USDC,2023-03-11 00:24:45.078,SOL,USDC,18.06,14.93,18.14,15.07
30,ADA/USDC,2023-03-11 00:24:45.146,ADA,USDC,0.3151,995.1,0.3165,695.1
31,BTC/DAI,2023-03-11 00:24:45.209,BTC,DAI,20264.54,0.08936,20301.5,0.04481
32,ETH/DAI,2023-03-11 00:24:45.284,ETH,DAI,1433.13,0.4981,1435.62,0.4494
33,BTC/USD,2023-03-11 00:24:45.415,BTC,USD,20253.55,0.04749,20261.63,0.00536
34,ETH/USD,2023-03-11 00:24:45.496,ETH,USD,1431.79,0.5,1432.17,2.1277
35,USDT/USD,2023-03-11 00:24:45.560,USDT,USD,1.0029,702.0,1.003,982930.0
36,BNB/USD,2023-03-11 00:24:45.621,BNB,USD,278.3,6.555,278.5,0.82
37,ADA/USD,2023-03-11 00:24:45.691,ADA,USD,0.3164,540.0,0.3166,374.5
38,BUSD/USD,2023-03-11 00:24:45.757,BUSD,USD,0.9996,571884.0,0.9999,854362.0
39,MATIC/USD,2023-03-11 00:24:45.821,MATIC,USD,1.0561,350.0,1.0563,452.3
40,USDC/USD,2023-03-11 00:24:45.885,USDC,USD,0.9997,398372.61,0.9998,472851.33
41,MANA/USD,2023-03-11 00:24:45.951,MANA,USD,0.5308,615.0,0.5309,200.0
42,DAI/USD,2023-03-11 00:24:46.018,DAI,USD,0.9954,19.4,0.9987,39778.36
43,SOL/USD,2023-03-11 00:24:46.088,SOL,USD,18.15,26.18,18.16,4.0
44,TRX/USD,2023-03-11 00:24:46.156,TRX,USD,0.05742,1400.0,0.0575,7438.6
