,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-13 15:25:59.652,ETH,BTC,0.069475,0.4527,0.069506,0.1
1,BNB/BTC,2023-03-13 15:25:59.707,BNB,BTC,0.012839,4.635,0.012858,5.035
2,ADA/BTC,2023-03-13 15:25:59.763,ADA,BTC,1.443e-05,57.1,1.446e-05,1776.1
3,SOL/BTC,2023-03-13 15:25:59.816,SOL,BTC,0.0008742,21.51,0.0008768,11.88
4,MATIC/BTC,2023-03-13 15:25:59.871,MATIC,BTC,4.911e-05,149.6,4.917e-05,396.0
5,MANA/BTC,2023-03-13 15:25:59.927,MANA,BTC,2.474e-05,1040.0,2.479e-05,738.0
6,TRX/BTC,2023-03-13 15:25:59.984,TRX,BTC,2.81e-06,6998.0,2.82e-06,7063.0
7,ADA/ETH,2023-03-13 15:26:00.038,ADA,ETH,0.0002091,0.1,0.0002092,891.0
8,BTC/USDT,2023-03-13 15:26:00.094,BTC,USDT,24181.27,9e-05,24188.44,0.03
9,ETH/USDT,2023-03-13 15:26:00.150,ETH,USDT,1679.78,1.2,1680.64,1.5109
10,BNB/USDT,2023-03-13 15:26:00.207,BNB,USDT,310.8,2.1,310.9,2.579
11,ADA/USDT,2023-03-13 15:26:00.260,ADA,USDT,0.3494,1050.0,0.3496,1050.0
12,BUSD/USDT,2023-03-13 15:26:00.318,BUSD,USDT,0.9958,4174.0,0.9967,7990.0
13,SOL/USDT,2023-03-13 15:26:00.375,SOL,USDT,21.19,0.48,21.21,0.93
14,USDC/USDT,2023-03-13 15:26:00.430,USDC,USDT,0.9886,3187.0,0.9887,305545.0
15,MATIC/USDT,2023-03-13 15:26:00.487,MATIC,USDT,1.188,235.0,1.1887,235.0
16,MANA/USDT,2023-03-13 15:26:00.540,MANA,USDT,0.5981,602.0,0.5999,8030.0
17,TRX/USDT,2023-03-13 15:26:00.596,TRX,USDT,0.06807,12605.3,0.06818,7289.1
18,BTC/BUSD,2023-03-13 15:26:00.705,BTC,BUSD,24277.76,0.0325,24296.09,0.0325
19,BNB/BUSD,2023-03-13 15:26:00.760,BNB,BUSD,311.9,29.998,312.3,2.875
20,ETH/BUSD,2023-03-13 15:26:00.814,ETH,BUSD,1687.09,0.345,1688.19,0.69
21,MATIC/BUSD,2023-03-13 15:26:00.868,MATIC,BUSD,1.1924,66.7,1.1938,415.8
22,USDC/BUSD,2023-03-13 15:26:00.921,USDC,BUSD,0.9891,8081.9,0.9919,82866.55
23,MANA/BUSD,2023-03-13 15:26:00.978,MANA,BUSD,0.6004,115.0,0.6025,675.0
24,ADA/BUSD,2023-03-13 15:26:01.038,ADA,BUSD,0.3505,1715.0,0.3512,1778.2
25,SOL/BUSD,2023-03-13 15:26:01.096,SOL,BUSD,21.25,1.86,21.32,23.95
26,TRX/BUSD,2023-03-13 15:26:01.151,TRX,BUSD,0.06838,10052.4,0.06849,25505.9
27,BTC/USDC,2023-03-13 15:26:01.206,BTC,USDC,24454.15,0.00082,24555.86,0.00082
28,ETH/USDC,2023-03-13 15:26:01.260,ETH,USDC,1699.12,0.1,1706.57,0.0118
29,SOL/USDC,2023-03-13 15:26:01.318,SOL,USDC,21.06,23.76,21.68,87.38
30,ADA/USDC,2023-03-13 15:26:01.374,ADA,USDC,0.352,25317.6,0.3549,142.8
31,BTC/DAI,2023-03-13 15:26:01.431,BTC,DAI,24384.65,0.04996,24424.19,0.08131
32,ETH/DAI,2023-03-13 15:26:01.489,ETH,DAI,1694.39,0.8876,1696.99,0.4512
33,BTC/USD,2023-03-13 15:26:01.602,BTC,USD,24302.64,0.00328,24307.21,0.195
34,ETH/USD,2023-03-13 15:26:01.657,ETH,USD,1688.83,2.75,1689.69,2.75
35,USDT/USD,2023-03-13 15:26:01.712,USDT,USD,1.0051,7329.0,1.0055,733.0
36,BNB/USD,2023-03-13 15:26:01.773,BNB,USD,312.4,3.814,312.5,0.014
37,ADA/USD,2023-03-13 15:26:01.832,ADA,USD,0.3513,2540.0,0.3516,3500.0
38,BUSD/USD,2023-03-13 15:26:01.888,BUSD,USD,1.0003,58.0,1.0004,631458.0
39,MATIC/USD,2023-03-13 15:26:01.945,MATIC,USD,1.1948,423.5,1.1953,360.0
40,USDC/USD,2023-03-13 15:26:02.002,USDC,USD,0.9916,10113.59,0.995,294009.09
41,MANA/USD,2023-03-13 15:26:02.060,MANA,USD,0.6019,117.0,0.6027,100.0
42,DAI/USD,2023-03-13 15:26:02.117,DAI,USD,0.987,277.23,0.9973,199.27
43,SOL/USD,2023-03-13 15:26:02.177,SOL,USD,21.31,0.69,21.32,2.1
44,TRX/USD,2023-03-13 15:26:02.232,TRX,USD,0.06846,13728.0,0.06857,1400.0
