,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4464, 1814.4]]","[[0.4465, 1956.4]]",2022-07-05 15:16:40.732,1021523630,ADA,USD,72.1,0.4464,1814.4,0.4465,1956.4
BNB/USD,"[[223.8337, 0.172]]","[[223.975, 0.172]]",2022-07-05 15:16:40.802,1337489464,BNB,USD,70.6,223.8337,0.172,223.975,0.172
BTC/USD,"[[19391.23, 8e-06]]","[[19392.92, 0.05]]",2022-07-05 15:16:40.877,2157444555,BTC,USD,74.6,19391.23,8e-06,19392.92,0.05
BUSD/USD,"[[0.9999, 18261.66]]","[[1.0001, 43482.45]]",2022-07-05 15:16:40.952,10406103,BUSD,USD,74.7,0.9999,18261.66,1.0001,43482.45
ETH/USD,"[[1083.04, 0.07355]]","[[1083.43, 0.07473]]",2022-07-05 15:16:41.025,1876517499,ETH,USD,73.1,1083.04,0.07355,1083.43,0.07473
MANA/USD,"[[0.8435, 300.0]]","[[0.8446, 23.8]]",2022-07-05 15:16:41.099,706540880,MANA,USD,74.2,0.8435,300.0,0.8446,23.8
MATIC/USD,"[[0.4954, 900.0]]","[[0.4957, 4061.8]]",2022-07-05 15:16:41.176,1034201217,MATIC,USD,77.4,0.4954,900.0,0.4957,4061.8
POLY/USD,"[[0.1877, 1392.8]]","[[0.1883, 244.0]]",2022-07-05 15:16:41.251,5328497,POLY,USD,74.5,0.1877,1392.8,0.1883,244.0
SOL/USD,"[[33.3697, 0.49]]","[[33.3838, 25.0]]",2022-07-05 15:16:41.323,1207521680,SOL,USD,72.2,33.3697,0.49,33.3838,25.0
TRX/USD,"[[0.0666, 107696.0]]","[[0.0668, 174034.1]]",2022-07-05 15:16:41.396,8023862,TRX,USD,73.0,0.0666,107696.0,0.0668,174034.1
USDC/USD,"[[0.9999, 59467.27]]","[[1.0, 370961.27]]",2022-07-05 15:16:41.468,22986423,USDC,USD,72.2,0.9999,59467.27,1.0,370961.27
