,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-12 20:02:04.944,ETH,BTC,0.072855,0.1,0.07288,0.1
1,BNB/BTC,2023-03-12 20:02:05.018,BNB,BTC,0.013355,1.115,0.013368,3.0
2,ADA/BTC,2023-03-12 20:02:05.077,ADA,BTC,1.503e-05,1200.2,1.505e-05,363.4
3,SOL/BTC,2023-03-12 20:02:05.140,SOL,BTC,0.0008852,14.96,0.0008868,14.88
4,MATIC/BTC,2023-03-12 20:02:05.209,MATIC,BTC,5.186e-05,629.8,5.192e-05,3.6
5,MANA/BTC,2023-03-12 20:02:05.275,MANA,BTC,2.571e-05,829.0,2.578e-05,824.0
6,TRX/BTC,2023-03-12 20:02:05.340,TRX,BTC,2.87e-06,10658.0,2.88e-06,3.0
7,ADA/ETH,2023-03-12 20:02:05.401,ADA,ETH,0.000206,996.1,0.0002062,0.5
8,BTC/USDT,2023-03-12 20:02:05.463,BTC,USDT,20804.43,0.02,20809.94,0.01488
9,ETH/USDT,2023-03-12 20:02:05.535,ETH,USDT,1515.79,0.5,1516.41,0.0197
10,BNB/USDT,2023-03-12 20:02:05.600,BNB,USDT,277.9,3.1,278.0,2.58
11,ADA/USDT,2023-03-12 20:02:05.661,ADA,USDT,0.3128,4465.9,0.3129,1290.0
12,BUSD/USDT,2023-03-12 20:02:05.724,BUSD,USDT,0.9926,2970.0,0.9934,20.0
13,SOL/USDT,2023-03-12 20:02:05.786,SOL,USDT,18.41,151.84,18.43,42.7
14,USDC/USDT,2023-03-12 20:02:05.855,USDC,USDT,0.9522,9750.0,0.9531,4656.0
15,MATIC/USDT,2023-03-12 20:02:05.919,MATIC,USDT,1.0791,349.3,1.0803,235.0
16,MANA/USDT,2023-03-12 20:02:05.983,MANA,USDT,0.5352,801.0,0.5362,155.0
17,TRX/USDT,2023-03-12 20:02:06.057,TRX,USDT,0.05994,13999.6,0.05996,16654.7
18,BTC/BUSD,2023-03-12 20:02:06.203,BTC,BUSD,20931.67,0.01,20935.68,0.0311
19,BNB/BUSD,2023-03-12 20:02:06.269,BNB,BUSD,279.5,0.887,279.8,3.659
20,ETH/BUSD,2023-03-12 20:02:06.338,ETH,BUSD,1525.08,0.315,1525.74,0.0193
21,MATIC/BUSD,2023-03-12 20:02:06.408,MATIC,BUSD,1.0861,18.2,1.0868,50.0
22,USDC/BUSD,2023-03-12 20:02:06.474,USDC,BUSD,0.9553,55.06,0.9613,22.96
23,MANA/BUSD,2023-03-12 20:02:06.547,MANA,BUSD,0.5384,829.0,0.5399,330.0
24,ADA/BUSD,2023-03-12 20:02:06.614,ADA,BUSD,0.3145,992.0,0.3152,796.1
25,SOL/BUSD,2023-03-12 20:02:06.675,SOL,BUSD,18.51,14.66,18.57,36.5
26,TRX/BUSD,2023-03-12 20:02:06.747,TRX,BUSD,0.06034,6169.3,0.06044,12318.9
27,BTC/USDC,2023-03-12 20:02:06.811,BTC,USDC,21827.14,0.01186,21850.46,0.01
28,ETH/USDC,2023-03-12 20:02:06.877,ETH,USDC,1590.46,0.1627,1592.02,0.1626
29,SOL/USDC,2023-03-12 20:02:06.941,SOL,USDC,19.31,13.39,19.36,9.36
30,ADA/USDC,2023-03-12 20:02:07.008,ADA,USDC,0.3279,789.3,0.3288,787.5
31,BTC/DAI,2023-03-12 20:02:07.079,BTC,DAI,21638.32,0.04979,21638.33,9e-05
32,ETH/DAI,2023-03-12 20:02:07.152,ETH,DAI,1588.95,0.5047,1591.49,1.2132
33,BTC/USD,2023-03-12 20:02:07.289,BTC,USD,21092.33,0.03,21099.0,0.00807
34,ETH/USD,2023-03-12 20:02:07.355,ETH,USD,1536.71,0.8045,1537.65,2.663
35,USDT/USD,2023-03-12 20:02:07.428,USDT,USD,1.0141,3033.0,1.0142,5164.0
36,BNB/USD,2023-03-12 20:02:07.501,BNB,USD,281.9,1.75,282.0,6.206
37,ADA/USD,2023-03-12 20:02:07.567,ADA,USD,0.3171,4586.2,0.3174,5200.0
38,BUSD/USD,2023-03-12 20:02:07.633,BUSD,USD,1.0083,2906.0,1.0084,480.0
39,MATIC/USD,2023-03-12 20:02:07.697,MATIC,USD,1.0954,360.0,1.0959,228.1
40,USDC/USD,2023-03-12 20:02:07.762,USDC,USD,0.9653,4661.6,0.9663,4655.57
41,MANA/USD,2023-03-12 20:02:07.827,MANA,USD,0.5428,168.0,0.5442,330.0
42,DAI/USD,2023-03-12 20:02:07.894,DAI,USD,0.967,17.61,0.9768,623.03
43,SOL/USD,2023-03-12 20:02:07.960,SOL,USD,18.68,36.5,18.7,202.85
44,TRX/USD,2023-03-12 20:02:08.031,TRX,USD,0.06082,1400.0,0.06093,11018.6
