,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
BTC/USD,"[[23006.41, 0.012723]]","[[23008.37, 0.017311]]",2022-07-21 22:46:14.652,2266345563,BTC,USD,55.8,23006.41,0.012723,23008.37,0.017311
BUSD/USD,"[[0.9999, 402234.36]]","[[1.0, 402730.05]]",2022-07-21 22:46:14.714,10595748,BUSD,USD,61.1,0.9999,402234.36,1.0,402730.05
ETH/USD,"[[1572.74, 1.59006]]","[[1572.91, 1.15]]",2022-07-21 22:46:14.787,1942195391,ETH,USD,73.6,1572.74,1.59006,1572.91,1.15
USDC/USD,"[[0.9999, 290247.14]]","[[1.0, 241368.99]]",2022-07-21 22:46:14.847,23202691,USDC,USD,59.7,0.9999,290247.14,1.0,241368.99
USDT/USD,"[[1.0, 71306.46]]","[[1.0002, 29066.62]]",2022-07-21 22:46:14.906,65710306,USDT,USD,59.3,1.0,71306.46,1.0002,29066.62
UST/USD,[],[],2022-07-21 22:46:14.966,3225972,UST,USD,60.2,,,,
BTC/USDT,"[[23001.21, 0.09861]]","[[23009.17, 7.9e-05]]",2022-07-21 22:46:15.028,1232249723,BTC,USDT,61.4,23001.21,0.09861,23009.17,7.9e-05
BUSD/USDT,"[[0.9999, 68656.73]]","[[1.0, 222021.99]]",2022-07-21 22:46:15.088,3684983,BUSD,USDT,60.1,0.9999,68656.73,1.0,222021.99
ETH/USDT,"[[1573.07, 1.68987]]","[[1573.46, 71.53874]]",2022-07-21 22:46:15.149,1146735255,ETH,USDT,61.1,1573.07,1.68987,1573.46,71.53874
USDC/USDT,"[[0.9999, 278009.0]]","[[1.0, 281164.0]]",2022-07-21 22:46:15.208,1270297,USDC,USDT,58.8,0.9999,278009.0,1.0,281164.0
UST/USDT,[],[],2022-07-21 22:46:15.267,1960270,UST,USDT,58.8,,,,
ETH/BTC,"[[0.068313, 0.23]]","[[0.068363, 0.23]]",2022-07-21 22:46:15.325,390874958,ETH,BTC,58.3,0.068313,0.23,0.068363,0.23
BTC/BUSD,"[[23000.87, 0.0365]]","[[23000.91, 1e-06]]",2022-07-21 22:46:15.383,567208145,BTC,BUSD,57.7,23000.87,0.0365,23000.91,1e-06
ETH/BUSD,"[[1572.04, 0.225]]","[[1573.46, 0.59187]]",2022-07-21 22:46:15.442,417838859,ETH,BUSD,58.9,1572.04,0.225,1573.46,0.59187
USDC/BUSD,"[[0.9998, 309953.03]]","[[1.0001, 370506.53]]",2022-07-21 22:46:15.500,642384,USDC,BUSD,58.1,0.9998,309953.03,1.0001,370506.53
BTC/USDC,"[[23000.77, 0.002999]]","[[23014.5, 0.002999]]",2022-07-21 22:46:15.559,263827562,BTC,USDC,59.6,23000.77,0.002999,23014.5,0.002999
ETH/USDC,"[[1572.32, 0.22]]","[[1573.46, 0.2695]]",2022-07-21 22:46:15.622,85863510,ETH,USDC,62.2,1572.32,0.22,1573.46,0.2695
BTC/UST,[],[],2022-07-21 22:46:15.681,2296799,BTC,UST,59.6,,,,
