,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
BTC/USD,"[[19186.91, 0.019885]]","[[19190.13, 0.221366]]",2022-09-26 19:04:50.521,2568688386,BTC,USD,75.1,19186.91,0.019885,19190.13,0.221366
BUSD/USD,"[[1.0, 895307.05]]","[[1.0001, 730010.11]]",2022-09-26 19:04:50.579,11295651,BUSD,USD,57.4,1.0,895307.05,1.0001,730010.11
ETH/USD,"[[1333.56, 1.6872]]","[[1333.96, 1.3]]",2022-09-26 19:04:50.636,2202012510,ETH,USD,57.8,1333.56,1.6872,1333.96,1.3
USDC/USD,"[[0.9998, 626016.3]]","[[0.9999, 471671.45]]",2022-09-26 19:04:50.695,23844897,USDC,USD,58.2,0.9998,626016.3,0.9999,471671.45
USDT/USD,"[[0.9999, 640314.28]]","[[1.0, 756978.55]]",2022-09-26 19:04:50.772,72215055,USDT,USD,77.8,0.9999,640314.28,1.0,756978.55
UST/USD,[],[],2022-09-26 19:04:50.894,3225972,UST,USD,121.0,,,,
BTC/USDT,"[[19187.75, 0.015944]]","[[19193.23, 0.026]]",2022-09-26 19:04:50.972,1383110759,BTC,USDT,78.9,19187.75,0.015944,19193.23,0.026
BUSD/USDT,"[[1.0, 21350.93]]","[[1.0001, 318314.67]]",2022-09-26 19:04:51.036,3912044,BUSD,USDT,63.2,1.0,21350.93,1.0001,318314.67
ETH/USDT,"[[1333.67, 0.55]]","[[1334.5, 0.44061]]",2022-09-26 19:04:51.092,1281823539,ETH,USDT,56.0,1333.67,0.55,1334.5,0.44061
USDC/USDT,"[[0.9999, 385524.0]]","[[1.0, 310986.0]]",2022-09-26 19:04:51.151,1379787,USDC,USDT,59.6,0.9999,385524.0,1.0,310986.0
UST/USDT,[],[],2022-09-26 19:04:51.209,1960270,UST,USDT,57.6,,,,
ETH/BTC,"[[0.069489, 0.634]]","[[0.069518, 0.222]]",2022-09-26 19:04:51.267,450487834,ETH,BTC,57.7,0.069489,0.634,0.069518,0.222
BTC/BUSD,"[[19187.07, 0.02]]","[[19195.35, 0.02]]",2022-09-26 19:04:51.511,618690736,BTC,BUSD,244.1,19187.07,0.02,19195.35,0.02
ETH/BUSD,"[[1333.97, 0.37482]]","[[1334.58, 0.19]]",2022-09-26 19:04:51.721,475871239,ETH,BUSD,210.3,1333.97,0.37482,1334.58,0.19
USDC/BUSD,"[[0.9999, 306363.06]]","[[1.0001, 359677.77]]",2022-09-26 19:04:51.906,661487,USDC,BUSD,184.6,0.9999,306363.06,1.0001,359677.77
BTC/USDC,"[[19186.79, 0.02]]","[[19195.57, 0.026]]",2022-09-26 19:04:51.970,349909401,BTC,USDC,64.6,19186.79,0.02,19195.57,0.026
ETH/USDC,"[[1334.03, 0.19]]","[[1334.76, 0.19]]",2022-09-26 19:04:52.041,133590158,ETH,USDC,70.7,1334.03,0.19,1334.76,0.19
BTC/UST,[],[],2022-09-26 19:04:52.119,2296799,BTC,UST,78.5,,,,
