,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5188, 1973.5]]","[[0.519, 480.0]]",2022-07-29 03:27:16.520,1055148871,ADA,USD,89.5,0.5188,1973.5,0.519,480.0
BNB/USD,"[[276.4973, 1.63]]","[[276.5564, 2.05]]",2022-07-29 03:27:16.597,1409318758,BNB,USD,77.1,276.4973,1.63,276.5564,2.05
BTC/USD,"[[23827.28, 0.01687]]","[[23832.04, 0.046973]]",2022-07-29 03:27:16.666,2305250006,BTC,USD,68.8,23827.28,0.01687,23832.04,0.046973
BUSD/USD,"[[0.9999, 357053.1]]","[[1.0, 587962.19]]",2022-07-29 03:27:16.746,10661849,BUSD,USD,80.4,0.9999,357053.1,1.0,587962.19
ETH/USD,"[[1718.21, 0.41908]]","[[1718.61, 2.70491]]",2022-07-29 03:27:16.817,1976010092,ETH,USD,70.8,1718.21,0.41908,1718.61,2.70491
MANA/USD,"[[1.0163, 393.0]]","[[1.0169, 302.72]]",2022-07-29 03:27:16.887,735106253,MANA,USD,70.0,1.0163,393.0,1.0169,302.72
MATIC/USD,"[[0.9744, 550.0]]","[[0.9748, 1026.5]]",2022-07-29 03:27:16.957,1095862509,MATIC,USD,70.2,0.9744,550.0,0.9748,1026.5
POLY/USD,"[[0.2135, 1249.1]]","[[0.2145, 1325.9]]",2022-07-29 03:27:17.027,6248345,POLY,USD,69.3,0.2135,1249.1,0.2145,1325.9
SOL/USD,"[[43.0788, 8.56]]","[[43.0916, 4.89]]",2022-07-29 03:27:17.095,1299071535,SOL,USD,68.3,43.0788,8.56,43.0916,4.89
TRX/USD,"[[0.0697, 19564.1]]","[[0.0698, 27447.1]]",2022-07-29 03:27:17.163,9149075,TRX,USD,68.2,0.0697,19564.1,0.0698,27447.1
USDC/USD,"[[1.0, 450259.21]]","[[1.0001, 776770.38]]",2022-07-29 03:27:17.233,23273199,USDC,USD,70.0,1.0,450259.21,1.0001,776770.38
USDT/USD,"[[1.0002, 684310.04]]","[[1.0003, 808622.58]]",2022-07-29 03:27:17.304,66841924,USDT,USD,70.9,1.0002,684310.04,1.0003,808622.58
UST/USD,[],[],2022-07-29 03:27:17.373,3225972,UST,USD,69.0,,,,
XRP/USD,[],[],2022-07-29 03:27:17.443,119696569,XRP,USD,69.3,,,,
ADA/USDT,"[[0.51861, 550.0]]","[[0.51896, 550.0]]",2022-07-29 03:27:17.509,631527331,ADA,USDT,66.4,0.51861,550.0,0.51896,550.0
BNB/USDT,"[[276.3327, 1.0]]","[[276.5059, 1.0]]",2022-07-29 03:27:17.575,783409279,BNB,USDT,66.2,276.3327,1.0,276.5059,1.0
BTC/USDT,"[[23820.7, 0.02098]]","[[23829.12, 0.028048]]",2022-07-29 03:27:17.648,1246307666,BTC,USDT,72.5,23820.7,0.02098,23829.12,0.028048
BUSD/USDT,"[[0.9997, 293507.68]]","[[0.9998, 308178.25]]",2022-07-29 03:27:17.717,3751560,BUSD,USDT,69.0,0.9997,293507.68,0.9998,308178.25
ETH/USDT,"[[1717.55, 0.5]]","[[1718.24, 0.9]]",2022-07-29 03:27:17.785,1166536523,ETH,USDT,68.4,1717.55,0.5,1718.24,0.9
MANA/USDT,"[[1.0162, 100.0]]","[[1.0177, 34.0]]",2022-07-29 03:27:17.856,50971325,MANA,USDT,70.6,1.0162,100.0,1.0177,34.0
MATIC/USDT,"[[0.974, 5344.9]]","[[0.976, 2635.4]]",2022-07-29 03:27:17.926,47419825,MATIC,USDT,70.3,0.974,5344.9,0.976,2635.4
POLY/USDT,"[[0.2133, 1036.6]]","[[0.2145, 986.5]]",2022-07-29 03:27:17.994,4201268,POLY,USDT,68.1,0.2133,1036.6,0.2145,986.5
SOL/USDT,"[[43.0684, 11.6]]","[[43.0748, 12.5]]",2022-07-29 03:27:18.065,541613019,SOL,USDT,70.8,43.0684,11.6,43.0748,12.5
TRX/USDT,"[[0.06969, 3440.2]]","[[0.06978, 4301.2]]",2022-07-29 03:27:18.133,16608135,TRX,USDT,67.8,0.06969,3440.2,0.06978,4301.2
USDC/USDT,"[[0.9997, 326800.0]]","[[0.9998, 229208.0]]",2022-07-29 03:27:18.201,1299575,USDC,USDT,68.2,0.9997,326800.0,0.9998,229208.0
UST/USDT,[],[],2022-07-29 03:27:18.276,1960270,UST,USDT,75.3,,,,
XRP/USDT,[],[],2022-07-29 03:27:18.347,100846158,XRP,USDT,70.5,,,,
ADA/BTC,"[[2.178e-05, 5.0]]","[[2.18e-05, 10219.0]]",2022-07-29 03:27:18.417,123769072,ADA,BTC,70.0,2.178e-05,5.0,2.18e-05,10219.0
BNB/BTC,"[[0.0116031, 0.02]]","[[0.0116102, 0.01]]",2022-07-29 03:27:18.485,246950499,BNB,BTC,68.1,0.0116031,0.02,0.0116102,0.01
ETH/BTC,"[[0.0721, 0.25]]","[[0.072131, 0.25]]",2022-07-29 03:27:18.557,397001265,ETH,BTC,72.4,0.0721,0.25,0.072131,0.25
MANA/BTC,"[[4.261e-05, 254.0]]","[[4.264e-05, 5.0]]",2022-07-29 03:27:18.630,14406460,MANA,BTC,72.8,4.261e-05,254.0,4.264e-05,5.0
MATIC/BTC,"[[4.088e-05, 256.4]]","[[4.095e-05, 871.3]]",2022-07-29 03:27:18.699,16276764,MATIC,BTC,68.8,4.088e-05,256.4,4.095e-05,871.3
POLY/BTC,"[[8.96e-06, 1057.0]]","[[9e-06, 1283.0]]",2022-07-29 03:27:18.768,2819629,POLY,BTC,68.5,8.96e-06,1057.0,9e-06,1283.0
SOL/BTC,"[[0.0018078, 11.6]]","[[0.0018097, 11.59]]",2022-07-29 03:27:18.841,56045195,SOL,BTC,73.8,0.0018078,11.6,0.0018097,11.59
TRX/BTC,"[[2.92e-06, 3788.0]]","[[2.94e-06, 164308.0]]",2022-07-29 03:27:18.910,1854837,TRX,BTC,68.1,2.92e-06,3788.0,2.94e-06,164308.0
XRP/BTC,[],[],2022-07-29 03:27:18.996,48000651,XRP,BTC,86.2,,,,
ADA/BUSD,"[[0.518, 3136.1]]","[[0.52, 1183.2]]",2022-07-29 03:27:19.062,9477480,ADA,BUSD,66.3,0.518,3136.1,0.52,1183.2
BNB/BUSD,"[[276.3823, 1.8]]","[[276.6526, 1.62]]",2022-07-29 03:27:19.130,212205745,BNB,BUSD,68.3,276.3823,1.8,276.6526,1.62
BTC/BUSD,"[[23824.35, 0.02098]]","[[23831.57, 0.042]]",2022-07-29 03:27:19.204,572368381,BTC,BUSD,73.6,23824.35,0.02098,23831.57,0.042
ETH/BUSD,"[[1717.89, 0.28]]","[[1718.42, 0.28]]",2022-07-29 03:27:19.286,427274276,ETH,BUSD,82.2,1717.89,0.28,1718.42,0.28
MANA/BUSD,"[[1.0152, 243.0]]","[[1.0183, 472.0]]",2022-07-29 03:27:19.357,26497449,MANA,BUSD,70.6,1.0152,243.0,1.0183,472.0
MATIC/BUSD,"[[0.97426, 5058.4]]","[[0.97511, 256.4]]",2022-07-29 03:27:19.425,346586713,MATIC,BUSD,68.3,0.97426,5058.4,0.97511,256.4
POLY/BUSD,"[[0.2133, 889.6]]","[[0.2145, 1234.8]]",2022-07-29 03:27:19.493,3905863,POLY,BUSD,67.9,0.2133,889.6,0.2145,1234.8
SOL/BUSD,"[[43.03, 8.77]]","[[43.16, 37.73]]",2022-07-29 03:27:19.561,40469052,SOL,BUSD,68.4,43.03,8.77,43.16,37.73
TRX/BUSD,"[[0.06968, 4300.7]]","[[0.06981, 4300.3]]",2022-07-29 03:27:19.630,10794735,TRX,BUSD,68.2,0.06968,4300.7,0.06981,4300.3
USDC/BUSD,"[[0.9999, 339973.88]]","[[1.0001, 315062.6]]",2022-07-29 03:27:19.701,644583,USDC,BUSD,71.1,0.9999,339973.88,1.0001,315062.6
XRP/BUSD,[],[],2022-07-29 03:27:19.770,28045681,XRP,BUSD,69.5,,,,
BTC/USDC,"[[23825.32, 0.05]]","[[23832.75, 0.002891]]",2022-07-29 03:27:19.839,269008887,BTC,USDC,68.6,23825.32,0.05,23832.75,0.002891
ETH/USDC,"[[1717.98, 0.275]]","[[1718.67, 0.275]]",2022-07-29 03:27:19.912,94738906,ETH,USDC,72.6,1717.98,0.275,1718.67,0.275
