,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4451, 449.9]]","[[0.4454, 2018.0]]",2022-07-05 15:11:40.418,1021519078,ADA,USD,70.0,0.4451,449.9,0.4454,2018.0
BNB/USD,"[[223.2032, 0.05]]","[[223.2972, 0.179]]",2022-07-05 15:11:40.488,1337479704,BNB,USD,70.2,223.2032,0.05,223.2972,0.179
BTC/USD,"[[19358.94, 7e-06]]","[[19360.77, 0.170228]]",2022-07-05 15:11:40.556,2157419068,BTC,USD,67.8,19358.94,7e-06,19360.77,0.170228
BUSD/USD,"[[0.9999, 19461.11]]","[[1.0001, 40679.02]]",2022-07-05 15:11:40.625,10406070,BUSD,USD,69.0,0.9999,19461.11,1.0001,40679.02
ETH/USD,"[[1081.93, 1.4]]","[[1082.2, 1.74]]",2022-07-05 15:11:40.700,1876485963,ETH,USD,74.6,1081.93,1.4,1082.2,1.74
MANA/USD,"[[0.8395, 7.01]]","[[0.84, 300.0]]",2022-07-05 15:11:40.774,706536424,MANA,USD,74.7,0.8395,7.01,0.84,300.0
MATIC/USD,"[[0.4923, 900.0]]","[[0.4925, 900.0]]",2022-07-05 15:11:40.845,1034189513,MATIC,USD,70.4,0.4923,900.0,0.4925,900.0
POLY/USD,"[[0.1873, 2494.6]]","[[0.1882, 1319.0]]",2022-07-05 15:11:40.915,5328295,POLY,USD,70.4,0.1873,2494.6,0.1882,1319.0
SOL/USD,"[[33.2465, 0.6]]","[[33.2526, 0.53]]",2022-07-05 15:11:40.984,1207495282,SOL,USD,69.1,33.2465,0.6,33.2526,0.53
TRX/USD,"[[0.0665, 275677.4]]","[[0.0667, 40139.4]]",2022-07-05 15:11:41.056,8023619,TRX,USD,72.0,0.0665,275677.4,0.0667,40139.4
USDC/USD,"[[0.9999, 61663.88]]","[[1.0, 372085.03]]",2022-07-05 15:11:41.129,22986380,USDC,USD,72.8,0.9999,61663.88,1.0,372085.03
USDT/USD,"[[0.9987, 64347.85]]","[[0.9989, 34458.45]]",2022-07-05 15:11:41.199,60364308,USDT,USD,70.1,0.9987,64347.85,0.9989,34458.45
UST/USD,[],[],2022-07-05 15:11:41.270,3225972,UST,USD,70.5,,,,
XRP/USD,[],[],2022-07-05 15:11:41.340,119696569,XRP,USD,70.6,,,,
ADA/USDT,"[[0.44556, 63.2]]","[[0.44592, 550.0]]",2022-07-05 15:11:41.408,605981557,ADA,USDT,68.2,0.44556,63.2,0.44592,550.0
BNB/USDT,"[[223.3669, 1.4]]","[[223.545, 1.4]]",2022-07-05 15:11:41.477,764016051,BNB,USDT,68.3,223.3669,1.4,223.545,1.4
BTC/USDT,"[[19374.88, 0.074267]]","[[19385.62, 0.089253]]",2022-07-05 15:11:41.547,1165100493,BTC,USDT,70.5,19374.88,0.074267,19385.62,0.089253
BUSD/USDT,"[[1.001, 132139.31]]","[[1.0015, 264276.11]]",2022-07-05 15:11:41.620,3608464,BUSD,USDT,72.9,1.001,132139.31,1.0015,264276.11
ETH/USDT,"[[1083.5, 7e-05]]","[[1083.9, 0.9]]",2022-07-05 15:11:41.689,1075438115,ETH,USDT,68.4,1083.5,7e-05,1083.9,0.9
MANA/USDT,"[[0.8397, 228.0]]","[[0.8417, 217.0]]",2022-07-05 15:11:41.759,47050965,MANA,USDT,70.4,0.8397,228.0,0.8417,217.0
MATIC/USDT,"[[0.492, 2388.6]]","[[0.494, 3083.8]]",2022-07-05 15:11:41.829,41492710,MATIC,USDT,70.3,0.492,2388.6,0.494,3083.8
POLY/USDT,"[[0.1873, 2789.6]]","[[0.1886, 922.0]]",2022-07-05 15:11:41.900,3642975,POLY,USDT,70.6,0.1873,2789.6,0.1886,922.0
SOL/USDT,"[[33.2799, 0.77]]","[[33.2959, 12.0]]",2022-07-05 15:11:41.970,501540981,SOL,USDT,70.4,33.2799,0.77,33.2959,12.0
TRX/USDT,"[[0.06662, 508705.6]]","[[0.06678, 13433.8]]",2022-07-05 15:11:42.043,14722204,TRX,USDT,72.7,0.06662,508705.6,0.06678,13433.8
USDC/USDT,"[[1.001, 203517.0]]","[[1.0016, 376353.0]]",2022-07-05 15:11:42.114,1226129,USDC,USDT,70.6,1.001,203517.0,1.0016,376353.0
UST/USDT,[],[],2022-07-05 15:11:42.184,1960270,UST,USDT,70.6,,,,
