,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.512, 3125.5]]","[[0.5121, 38.2]]",2022-08-03 18:16:05.340,1064849453,ADA,USD,612.9,0.512,3125.5,0.5121,38.2
ALGO/USD,"[[0.336, 34843.148]]","[[0.337, 3941.955]]",2022-08-03 18:16:05.653,313237241,ALGO,USD,312.6,0.336,34843.148,0.337,3941.955
ATOM/USD,"[[10.413, 15.0]]","[[10.422, 24.5]]",2022-08-03 18:16:05.720,746021562,ATOM,USD,67.4,10.413,15.0,10.422,24.5
AVAX/USD,"[[23.91, 34.88]]","[[23.94, 33.2]]",2022-08-03 18:16:05.789,268091074,AVAX,USD,68.8,23.91,34.88,23.94,33.2
BCH/USD,"[[139.75, 0.95]]","[[140.05, 4.96647]]",2022-08-03 18:16:05.877,715442441,BCH,USD,88.2,139.75,0.95,140.05,4.96647
BNB/USD,"[[302.2176, 0.036]]","[[302.3613, 1.95]]",2022-08-03 18:16:05.942,1429105251,BNB,USD,65.4,302.2176,0.036,302.3613,1.95
BTC/USD,"[[23411.7, 0.096609]]","[[23422.89, 0.003]]",2022-08-03 18:16:06.041,2336527416,BTC,USD,98.4,23411.7,0.096609,23422.89,0.003
BUSD/USD,"[[1.0, 678965.59]]","[[1.0001, 910323.68]]",2022-08-03 18:16:06.110,10759797,BUSD,USD,68.8,1.0,678965.59,1.0001,910323.68
DOT/USD,"[[8.32, 79.5]]","[[8.33, 60.0]]",2022-08-03 18:16:06.197,132364865,DOT,USD,87.7,8.32,79.5,8.33,60.0
EOS/USD,"[[1.2169, 275.2]]","[[1.2191, 246.09]]",2022-08-03 18:16:06.275,295547048,EOS,USD,77.4,1.2169,275.2,1.2191,246.09
ETH/USD,"[[1658.01, 1.82]]","[[1658.18, 0.0626]]",2022-08-03 18:16:06.340,1999152205,ETH,USD,65.0,1658.01,1.82,1658.18,0.0626
LINK/USD,"[[7.5194, 109.5]]","[[7.524, 33.5]]",2022-08-03 18:16:06.404,1014052886,LINK,USD,64.2,7.5194,109.5,7.524,33.5
LPT/USD,"[[11.36, 171.1]]","[[11.39, 23.6]]",2022-08-03 18:16:06.698,17226233,LPT,USD,294.1,11.36,171.1,11.39,23.6
LRC/USD,"[[0.4185, 717.0]]","[[0.4195, 789.0]]",2022-08-03 18:16:06.772,91854147,LRC,USD,73.5,0.4185,717.0,0.4195,789.0
LTC/USD,"[[59.63, 2.8]]","[[59.7, 4.0]]",2022-08-03 18:16:06.846,698015752,LTC,USD,74.2,59.63,2.8,59.7,4.0
MANA/USD,"[[0.9947, 250.0]]","[[0.9955, 250.0]]",2022-08-03 18:16:06.913,742161573,MANA,USD,67.0,0.9947,250.0,0.9955,250.0
MATIC/USD,"[[0.9119, 4872.1]]","[[0.9123, 550.0]]",2022-08-03 18:16:06.992,1115277212,MATIC,USD,79.4,0.9119,4872.1,0.9123,550.0
NEAR/USD,"[[4.554, 199.2]]","[[4.557, 120.0]]",2022-08-03 18:16:07.160,159278486,NEAR,USD,167.6,4.554,199.2,4.557,120.0
OMG/USD,"[[2.2274, 74.8]]","[[2.2319, 37.0]]",2022-08-03 18:16:07.231,496511548,OMG,USD,70.9,2.2274,74.8,2.2319,37.0
ONE/USD,"[[0.0228, 30500.0]]","[[0.0229, 642591.2]]",2022-08-03 18:16:07.308,303806312,ONE,USD,77.5,0.0228,30500.0,0.0229,642591.2
POLY/USD,"[[0.2223, 3457.2]]","[[0.223, 93.7]]",2022-08-03 18:16:07.399,6439802,POLY,USD,90.1,0.2223,3457.2,0.223,93.7
SOL/USD,"[[40.1485, 18.0]]","[[40.1646, 25.2]]",2022-08-03 18:16:07.475,1319563053,SOL,USD,76.5,40.1485,18.0,40.1646,25.2
TRX/USD,"[[0.0688, 12055.1]]","[[0.0689, 226759.2]]",2022-08-03 18:16:07.747,9445813,TRX,USD,271.5,0.0688,12055.1,0.0689,226759.2
UNI/USD,"[[8.9885, 14.46]]","[[9.0109, 50.25]]",2022-08-03 18:16:07.854,452447207,UNI,USD,107.2,8.9885,14.46,9.0109,50.25
USDC/USD,"[[1.0, 308382.23]]","[[1.0001, 375509.06]]",2022-08-03 18:16:07.923,23330821,USDC,USD,68.7,1.0,308382.23,1.0001,375509.06
USDT/USD,"[[1.0001, 1100810.96]]","[[1.0002, 695235.92]]",2022-08-03 18:16:07.991,67709665,USDT,USD,68.4,1.0001,1100810.96,1.0002,695235.92
UST/USD,[],[],2022-08-03 18:16:08.140,3225972,UST,USD,149.2,,,,
VET/USD,"[[0.0305, 254613.0]]","[[0.0306, 611651.0]]",2022-08-03 18:16:08.222,370368778,VET,USD,81.5,0.0305,254613.0,0.0306,611651.0
XRP/USD,[],[],2022-08-03 18:16:08.292,119696569,XRP,USD,70.0,,,,
XTZ/USD,"[[1.7694, 140.0]]","[[1.7708, 140.0]]",2022-08-03 18:16:08.365,448177502,XTZ,USD,73.1,1.7694,140.0,1.7708,140.0
ADA/USDT,"[[0.51182, 490.0]]","[[0.51222, 490.0]]",2022-08-03 18:16:08.435,638305559,ADA,USDT,70.4,0.51182,490.0,0.51222,490.0
ALGO/USDT,"[[0.3361, 2127.0]]","[[0.3369, 784.0]]",2022-08-03 18:16:08.512,56915362,ALGO,USDT,76.6,0.3361,2127.0,0.3369,784.0
ATOM/USDT,"[[10.414, 24.5]]","[[10.427, 24.5]]",2022-08-03 18:16:08.797,329495405,ATOM,USDT,285.1,10.414,24.5,10.427,24.5
AVAX/USDT,"[[23.91, 12.72]]","[[23.93, 13.78]]",2022-08-03 18:16:08.894,176227318,AVAX,USDT,96.9,23.91,12.72,23.93,13.78
BCH/USDT,"[[139.6, 0.15699]]","[[140.06, 0.14985]]",2022-08-03 18:16:08.969,356831742,BCH,USDT,75.3,139.6,0.15699,140.06,0.14985
BNB/USDT,"[[302.0129, 0.9]]","[[302.3256, 0.9]]",2022-08-03 18:16:09.188,787519123,BNB,USDT,219.2,302.0129,0.9,302.3256,0.9
BTC/USDT,"[[23401.31, 0.005]]","[[23412.42, 0.105]]",2022-08-03 18:16:09.264,1257362943,BTC,USDT,75.4,23401.31,0.005,23412.42,0.105
BUSD/USDT,"[[0.9997, 301560.83]]","[[0.9998, 266056.98]]",2022-08-03 18:16:09.345,3782148,BUSD,USDT,81.5,0.9997,301560.83,0.9998,266056.98
DOT/USDT,"[[8.31, 2.05]]","[[8.33, 30.01]]",2022-08-03 18:16:09.417,54426870,DOT,USDT,72.0,8.31,2.05,8.33,30.01
EOS/USDT,"[[1.215, 1141.6]]","[[1.22, 246.0]]",2022-08-03 18:16:09.487,18003487,EOS,USDT,70.2,1.215,1141.6,1.22,246.0
ETH/USDT,"[[1657.42, 0.9]]","[[1658.32, 0.01871]]",2022-08-03 18:16:09.554,1176406881,ETH,USDT,66.5,1657.42,0.9,1658.32,0.01871
LINK/USDT,"[[7.51, 793.12]]","[[7.53, 263.68]]",2022-08-03 18:16:09.843,26540533,LINK,USDT,288.7,7.51,793.12,7.53,263.68
LPT/USDT,"[[11.36, 20.17]]","[[11.39, 24.09]]",2022-08-03 18:16:09.917,11414068,LPT,USDT,74.4,11.36,20.17,11.39,24.09
LRC/USDT,"[[0.4182, 460.0]]","[[0.4197, 475.0]]",2022-08-03 18:16:09.988,66982773,LRC,USDT,70.7,0.4182,460.0,0.4197,475.0
LTC/USDT,"[[59.59, 97.02034]]","[[59.71, 3.35162]]",2022-08-03 18:16:10.083,446684786,LTC,USDT,95.4,59.59,97.02034,59.71,3.35162
MANA/USDT,"[[0.9934, 267.0]]","[[0.996, 217.0]]",2022-08-03 18:16:10.240,52023065,MANA,USDT,156.3,0.9934,267.0,0.996,217.0
MATIC/USDT,"[[0.912, 684.8]]","[[0.913, 274.0]]",2022-08-03 18:16:10.312,48649416,MATIC,USDT,72.0,0.912,684.8,0.913,274.0
NEAR/USDT,"[[4.549, 71.7]]","[[4.556, 14.8]]",2022-08-03 18:16:10.389,62647852,NEAR,USDT,77.3,4.549,71.7,4.556,14.8
OMG/USDT,"[[2.225, 229.5]]","[[2.233, 277.7]]",2022-08-03 18:16:10.466,15350054,OMG,USDT,77.1,2.225,229.5,2.233,277.7
ONE/USDT,"[[0.02278, 21500.0]]","[[0.02281, 9400.0]]",2022-08-03 18:16:10.540,299265465,ONE,USDT,74.3,0.02278,21500.0,0.02281,9400.0
POLY/USDT,"[[0.2224, 984.9]]","[[0.2236, 1929.9]]",2022-08-03 18:16:10.609,4314682,POLY,USDT,68.3,0.2224,984.9,0.2236,1929.9
SOL/USDT,"[[40.1665, 11.5]]","[[40.1869, 1.24]]",2022-08-03 18:16:10.919,555388937,SOL,USDT,310.2,40.1665,11.5,40.1869,1.24
TRX/USDT,"[[0.0687, 628144.0]]","[[0.06889, 156823.9]]",2022-08-03 18:16:10.989,16897606,TRX,USDT,69.7,0.0687,628144.0,0.06889,156823.9
UNI/USDT,"[[8.9808, 55.66]]","[[9.0109, 49.95]]",2022-08-03 18:16:11.060,216274950,UNI,USDT,70.9,8.9808,55.66,9.0109,49.95
USDC/USDT,"[[0.9997, 374717.0]]","[[0.9999, 375544.0]]",2022-08-03 18:16:11.130,1312601,USDC,USDT,70.7,0.9997,374717.0,0.9999,375544.0
UST/USDT,[],[],2022-08-03 18:16:11.284,1960270,UST,USDT,153.6,,,,
VET/USDT,"[[0.030456, 18500.0]]","[[0.030531, 8900.0]]",2022-08-03 18:16:11.365,622596110,VET,USDT,81.1,0.030456,18500.0,0.030531,8900.0
XRP/USDT,[],[],2022-08-03 18:16:11.448,100846158,XRP,USDT,83.4,,,,
ADA/BTC,"[[2.184e-05, 28410.0]]","[[2.189e-05, 1743.0]]",2022-08-03 18:16:11.532,124263595,ADA,BTC,83.9,2.184e-05,28410.0,2.189e-05,1743.0
ATOM/BTC,"[[0.0004446, 59.05]]","[[0.0004455, 69.52]]",2022-08-03 18:16:11.604,21783175,ATOM,BTC,71.7,0.0004446,59.05,0.0004455,69.52
AVAX/BTC,"[[0.0010212, 15.63]]","[[0.0010227, 11.52]]",2022-08-03 18:16:11.677,24805522,AVAX,BTC,72.6,0.0010212,15.63,0.0010227,11.52
BCH/BTC,"[[0.005981, 0.017]]","[[0.005985, 1.942]]",2022-08-03 18:16:11.939,172867885,BCH,BTC,262.3,0.005981,0.017,0.005985,1.942
BNB/BTC,"[[0.0128946, 0.9]]","[[0.012913, 0.92]]",2022-08-03 18:16:12.011,247753612,BNB,BTC,71.7,0.0128946,0.9,0.012913,0.92
DOT/BTC,"[[0.0003551, 30.05]]","[[0.0003558, 1061.37]]",2022-08-03 18:16:12.099,22706287,DOT,BTC,88.6,0.0003551,30.05,0.0003558,1061.37
ETH/BTC,"[[0.07079, 0.255]]","[[0.070865, 0.255]]",2022-08-03 18:16:12.168,402592585,ETH,BTC,68.4,0.07079,0.255,0.070865,0.255
LINK/BTC,"[[0.00032123, 0.4]]","[[0.0003216, 33.0]]",2022-08-03 18:16:12.234,161603829,LINK,BTC,66.5,0.00032123,0.4,0.0003216,33.0
LRC/BTC,"[[1.786e-05, 685.0]]","[[1.794e-05, 565.0]]",2022-08-03 18:16:12.331,11550501,LRC,BTC,96.9,1.786e-05,685.0,1.794e-05,565.0
LTC/BTC,"[[0.002545, 237.54]]","[[0.002551, 128.84]]",2022-08-03 18:16:12.399,145235474,LTC,BTC,67.3,0.002545,237.54,0.002551,128.84
MANA/BTC,"[[4.244e-05, 348.0]]","[[4.254e-05, 247.0]]",2022-08-03 18:16:12.487,14705695,MANA,BTC,88.7,4.244e-05,348.0,4.254e-05,247.0
MATIC/BTC,"[[3.893e-05, 719.9]]","[[3.901e-05, 770.2]]",2022-08-03 18:16:12.556,16677909,MATIC,BTC,69.0,3.893e-05,719.9,3.901e-05,770.2
POLY/BTC,"[[9.5e-06, 1185.0]]","[[9.55e-06, 1257.0]]",2022-08-03 18:16:12.625,2916893,POLY,BTC,69.0,9.5e-06,1185.0,9.55e-06,1257.0
SOL/BTC,"[[0.0017133, 1039.31]]","[[0.0017163, 195.61]]",2022-08-03 18:16:12.698,58251899,SOL,BTC,72.2,0.0017133,1039.31,0.0017163,195.61
TRX/BTC,"[[2.93e-06, 37668.0]]","[[2.95e-06, 296866.0]]",2022-08-03 18:16:12.766,1898829,TRX,BTC,68.5,2.93e-06,37668.0,2.95e-06,296866.0
UNI/BTC,"[[0.00038365, 155.0]]","[[0.00038484, 86.0]]",2022-08-03 18:16:13.069,126146449,UNI,BTC,303.2,0.00038365,155.0,0.00038484,86.0
VET/BTC,"[[1.3e-06, 23603.0]]","[[1.31e-06, 21441.0]]",2022-08-03 18:16:13.177,55027356,VET,BTC,107.7,1.3e-06,23603.0,1.31e-06,21441.0
