,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5245, 2968.4]]","[[0.5248, 1200.0]]",2022-07-29 11:41:38.755,1055808594,ADA,USD,60.1,0.5245,2968.4,0.5248,1200.0
BNB/USD,"[[283.8435, 2.0]]","[[284.1761, 2.05]]",2022-07-29 11:41:38.820,1410587589,BNB,USD,64.7,283.8435,2.0,284.1761,2.05
BTC/USD,"[[23662.74, 0.205]]","[[23667.57, 0.205]]",2022-07-29 11:41:38.882,2306977473,BTC,USD,62.2,23662.74,0.205,23667.57,0.205
BUSD/USD,"[[0.9999, 852170.98]]","[[1.0, 360768.86]]",2022-07-29 11:41:38.944,10664805,BUSD,USD,62.0,0.9999,852170.98,1.0,360768.86
ETH/USD,"[[1678.94, 0.06542]]","[[1679.51, 0.06204]]",2022-07-29 11:41:39.005,1977498613,ETH,USD,61.0,1678.94,0.06542,1679.51,0.06204
MANA/USD,"[[0.9583, 270.0]]","[[0.9593, 109.77]]",2022-07-29 11:41:39.067,735566531,MANA,USD,62.2,0.9583,270.0,0.9593,109.77
MATIC/USD,"[[0.9278, 770.0]]","[[0.9285, 556.4]]",2022-07-29 11:41:39.132,1096916100,MATIC,USD,64.4,0.9278,770.0,0.9285,556.4
POLY/USD,"[[0.2112, 0.7]]","[[0.2114, 1404.9]]",2022-07-29 11:41:39.194,6258788,POLY,USD,62.0,0.2112,0.7,0.2114,1404.9
SOL/USD,"[[41.654, 21.0]]","[[41.6761, 21.0]]",2022-07-29 11:41:39.258,1300355393,SOL,USD,64.0,41.654,21.0,41.6761,21.0
TRX/USD,"[[0.0706, 495.5]]","[[0.0707, 3407.1]]",2022-07-29 11:41:39.320,9167774,TRX,USD,62.2,0.0706,495.5,0.0707,3407.1
USDC/USD,"[[1.0, 139887.65]]","[[1.0001, 759476.92]]",2022-07-29 11:41:39.382,23276721,USDC,USD,62.2,1.0,139887.65,1.0001,759476.92
USDT/USD,"[[1.0002, 812046.67]]","[[1.0003, 626854.16]]",2022-07-29 11:41:39.443,66894914,USDT,USD,61.3,1.0002,812046.67,1.0003,626854.16
UST/USD,[],[],2022-07-29 11:41:39.506,3225972,UST,USD,62.5,,,,
XRP/USD,[],[],2022-07-29 11:41:39.573,119696569,XRP,USD,67.1,,,,
ADA/USDT,"[[0.52393, 40.0]]","[[0.52498, 550.0]]",2022-07-29 11:41:39.639,632309842,ADA,USDT,65.5,0.52393,40.0,0.52498,550.0
BNB/USDT,"[[283.7438, 1.0]]","[[284.062, 1.0]]",2022-07-29 11:41:39.703,783737792,BNB,USDT,64.4,283.7438,1.0,284.062,1.0
BTC/USDT,"[[23639.03, 0.009297]]","[[23669.16, 0.009297]]",2022-07-29 11:41:39.764,1246831163,BTC,USDT,60.9,23639.03,0.009297,23669.16,0.009297
BUSD/USDT,"[[0.9997, 254512.02]]","[[0.9998, 280067.27]]",2022-07-29 11:41:39.828,3753499,BUSD,USDT,63.9,0.9997,254512.02,0.9998,280067.27
ETH/USDT,"[[1677.3, 0.9]]","[[1678.86, 0.9]]",2022-07-29 11:41:39.892,1167296057,ETH,USDT,63.6,1677.3,0.9,1678.86,0.9
MANA/USDT,"[[0.957, 270.0]]","[[0.9589, 168.0]]",2022-07-29 11:41:39.953,51040168,MANA,USDT,61.5,0.957,270.0,0.9589,168.0
MATIC/USDT,"[[0.927, 546.9]]","[[0.928, 556.4]]",2022-07-29 11:41:40.014,47499178,MATIC,USDT,60.9,0.927,546.9,0.928,556.4
POLY/USDT,"[[0.2105, 1035.8]]","[[0.2113, 1714.4]]",2022-07-29 11:41:40.080,4207979,POLY,USDT,65.8,0.2105,1035.8,0.2113,1714.4
SOL/USDT,"[[41.5857, 1.19]]","[[41.6596, 1.19]]",2022-07-29 11:41:40.141,542575943,SOL,USDT,61.3,41.5857,1.19,41.6596,1.19
TRX/USDT,"[[0.07054, 340.3]]","[[0.07079, 7981.8]]",2022-07-29 11:41:40.201,16626268,TRX,USDT,60.3,0.07054,340.3,0.07079,7981.8
USDC/USDT,"[[0.9997, 185303.0]]","[[0.9998, 266211.0]]",2022-07-29 11:41:40.263,1300638,USDC,USDT,62.0,0.9997,185303.0,0.9998,266211.0
UST/USDT,[],[],2022-07-29 11:41:40.328,1960270,UST,USDT,64.4,,,,
XRP/USDT,[],[],2022-07-29 11:41:40.393,100846158,XRP,USDT,65.4,,,,
ADA/BTC,"[[2.216e-05, 269.0]]","[[2.218e-05, 1448.0]]",2022-07-29 11:41:40.455,123826141,ADA,BTC,61.9,2.216e-05,269.0,2.218e-05,1448.0
BNB/BTC,"[[0.0119943, 0.95]]","[[0.012012, 0.95]]",2022-07-29 11:41:40.518,247021120,BNB,BTC,62.7,0.0119943,0.95,0.012012,0.95
ETH/BTC,"[[0.070925, 0.038]]","[[0.070998, 0.038]]",2022-07-29 11:41:40.580,397438281,ETH,BTC,61.7,0.070925,0.038,0.070998,0.038
MANA/BTC,"[[4.049e-05, 6.0]]","[[4.057e-05, 292.0]]",2022-07-29 11:41:40.642,14429183,MANA,BTC,62.2,4.049e-05,6.0,4.057e-05,292.0
MATIC/BTC,"[[3.916e-05, 1321.8]]","[[3.923e-05, 578.6]]",2022-07-29 11:41:40.704,16303735,MATIC,BTC,62.6,3.916e-05,1321.8,3.923e-05,578.6
POLY/BTC,"[[8.9e-06, 70.0]]","[[8.93e-06, 1179.0]]",2022-07-29 11:41:40.772,2824950,POLY,BTC,67.4,8.9e-06,70.0,8.93e-06,1179.0
