,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5146, 2100.0]]","[[0.5148, 780.0]]",2022-08-03 19:41:15.573,1064935353,ADA,USD,171.2,0.5146,2100.0,0.5148,780.0
ALGO/USD,"[[0.336, 25653.288]]","[[0.337, 1796.735]]",2022-08-03 19:41:15.636,313242742,ALGO,USD,63.0,0.336,25653.288,0.337,1796.735
ATOM/USD,"[[10.381, 24.5]]","[[10.39, 24.5]]",2022-08-03 19:41:15.695,746071438,ATOM,USD,59.1,10.381,24.5,10.39,24.5
AVAX/USD,"[[24.0, 35.24]]","[[24.03, 22.5]]",2022-08-03 19:41:15.766,268116504,AVAX,USD,70.7,24.0,35.24,24.03,22.5
BCH/USD,"[[140.27, 1.94461]]","[[140.49, 0.25]]",2022-08-03 19:41:15.907,715451012,BCH,USD,140.7,140.27,1.94461,140.49,0.25
BNB/USD,"[[302.8268, 1.95]]","[[303.1004, 18.0]]",2022-08-03 19:41:15.971,1429156464,BNB,USD,64.8,302.8268,1.95,303.1004,18.0
BTC/USD,"[[23479.18, 0.205]]","[[23480.0, 6.7e-05]]",2022-08-03 19:41:16.031,2336827341,BTC,USD,59.6,23479.18,0.205,23480.0,6.7e-05
BUSD/USD,"[[1.0, 663016.97]]","[[1.0001, 892384.04]]",2022-08-03 19:41:16.111,10760850,BUSD,USD,79.9,1.0,663016.97,1.0001,892384.04
DOT/USD,"[[8.35, 179.5]]","[[8.36, 60.0]]",2022-08-03 19:41:16.171,132374406,DOT,USD,59.6,8.35,179.5,8.36,60.0
EOS/USD,"[[1.2223, 245.43]]","[[1.2258, 172.77]]",2022-08-03 19:41:16.237,295554906,EOS,USD,66.2,1.2223,245.43,1.2258,172.77
ETH/USD,"[[1657.56, 1.3]]","[[1657.57, 0.00688]]",2022-08-03 19:41:16.297,1999360645,ETH,USD,60.2,1657.56,1.3,1657.57,0.00688
LINK/USD,"[[7.5442, 33.5]]","[[7.5483, 33.5]]",2022-08-03 19:41:16.576,1014154094,LINK,USD,278.6,7.5442,33.5,7.5483,33.5
LPT/USD,"[[11.26, 50.96]]","[[11.29, 20.13]]",2022-08-03 19:41:16.636,17232143,LPT,USD,60.3,11.26,50.96,11.29,20.13
LRC/USD,"[[0.4182, 440.0]]","[[0.419, 711.0]]",2022-08-03 19:41:16.694,91866016,LRC,USD,57.6,0.4182,440.0,0.419,711.0
LTC/USD,"[[59.91, 2.8]]","[[59.93, 0.30187]]",2022-08-03 19:41:16.753,698035059,LTC,USD,59.8,59.91,2.8,59.93,0.30187
MANA/USD,"[[0.9993, 250.0]]","[[1.0004, 183.4]]",2022-08-03 19:41:16.813,742232633,MANA,USD,59.8,0.9993,250.0,1.0004,183.4
MATIC/USD,"[[0.9151, 1492.2]]","[[0.9154, 107.0]]",2022-08-03 19:41:16.953,1115423917,MATIC,USD,139.6,0.9151,1492.2,0.9154,107.0
NEAR/USD,"[[4.645, 199.2]]","[[4.651, 247.6]]",2022-08-03 19:41:17.011,159313773,NEAR,USD,58.7,4.645,199.2,4.651,247.6
OMG/USD,"[[2.2315, 37.0]]","[[2.2357, 134.18]]",2022-08-03 19:41:17.076,496525314,OMG,USD,64.2,2.2315,37.0,2.2357,134.18
ONE/USD,"[[0.0229, 304840.4]]","[[0.023, 89464.6]]",2022-08-03 19:41:17.137,303814268,ONE,USD,61.3,0.0229,304840.4,0.023,89464.6
POLY/USD,"[[0.2235, 1201.0]]","[[0.2247, 2167.8]]",2022-08-03 19:41:17.198,6440430,POLY,USD,60.7,0.2235,1201.0,0.2247,2167.8
SOL/USD,"[[40.2702, 22.61]]","[[40.2794, 7.2]]",2022-08-03 19:41:17.284,1319732237,SOL,USD,85.9,40.2702,22.61,40.2794,7.2
TRX/USD,"[[0.0689, 14862.1]]","[[0.069, 12749.5]]",2022-08-03 19:41:17.346,9447474,TRX,USD,62.0,0.0689,14862.1,0.069,12749.5
UNI/USD,"[[9.0572, 51.49]]","[[9.0795, 235.1]]",2022-08-03 19:41:17.608,452451971,UNI,USD,262.8,9.0572,51.49,9.0795,235.1
USDC/USD,"[[1.0, 234959.39]]","[[1.0001, 368627.47]]",2022-08-03 19:41:17.696,23331476,USDC,USD,87.7,1.0,234959.39,1.0001,368627.47
USDT/USD,"[[1.0002, 1068829.6]]","[[1.0003, 911528.62]]",2022-08-03 19:41:17.776,67714167,USDT,USD,79.7,1.0002,1068829.6,1.0003,911528.62
UST/USD,[],[],2022-08-03 19:41:17.836,3225972,UST,USD,60.6,,,,
VET/USD,"[[0.0304, 262878.0]]","[[0.0305, 63207.0]]",2022-08-03 19:41:17.896,370377344,VET,USD,59.7,0.0304,262878.0,0.0305,63207.0
XRP/USD,[],[],2022-08-03 19:41:18.017,119696569,XRP,USD,121.0,,,,
XTZ/USD,"[[1.7815, 140.0]]","[[1.7849, 44.0]]",2022-08-03 19:41:18.087,448197575,XTZ,USD,69.3,1.7815,140.0,1.7849,44.0
ADA/USDT,"[[0.51407, 490.0]]","[[0.51468, 490.0]]",2022-08-03 19:41:18.150,638337231,ADA,USDT,63.9,0.51407,490.0,0.51468,490.0
