,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-12 20:03:22.569,ETH,BTC,0.072867,1.1964,0.072882,0.013
1,BNB/BTC,2023-03-12 20:03:22.638,BNB,BTC,0.013354,1.0,0.013372,3.0
2,ADA/BTC,2023-03-12 20:03:22.715,ADA,BTC,1.504e-05,63.4,1.507e-05,163.3
3,SOL/BTC,2023-03-12 20:03:22.803,SOL,BTC,0.0008843,14.95,0.0008859,15.13
4,MATIC/BTC,2023-03-12 20:03:22.883,MATIC,BTC,5.187e-05,633.1,5.194e-05,95.3
5,MANA/BTC,2023-03-12 20:03:22.965,MANA,BTC,2.572e-05,200.0,2.578e-05,825.0
6,TRX/BTC,2023-03-12 20:03:23.054,TRX,BTC,2.87e-06,14754.0,2.88e-06,3.0
7,ADA/ETH,2023-03-12 20:03:23.129,ADA,ETH,0.000206,996.1,0.0002062,0.5
8,BTC/USDT,2023-03-12 20:03:23.206,BTC,USDT,20823.24,0.11852,20827.18,0.27035
9,ETH/USDT,2023-03-12 20:03:23.284,ETH,USDT,1516.75,0.5,1517.81,0.5
10,BNB/USDT,2023-03-12 20:03:23.363,BNB,USDT,278.2,8.968,278.3,2.1
11,ADA/USDT,2023-03-12 20:03:23.443,ADA,USDT,0.3133,3176.7,0.3134,2100.0
12,BUSD/USDT,2023-03-12 20:03:23.515,BUSD,USDT,0.993,2846.0,0.9935,20.0
13,SOL/USDT,2023-03-12 20:03:23.593,SOL,USDT,18.43,73.15,18.44,1.89
14,USDC/USDT,2023-03-12 20:03:23.669,USDC,USDT,0.9525,9767.0,0.9535,1105.0
15,MATIC/USDT,2023-03-12 20:03:23.749,MATIC,USDT,1.0807,280.6,1.0817,128.4
16,MANA/USDT,2023-03-12 20:03:23.831,MANA,USDT,0.5358,803.0,0.5367,155.0
17,TRX/USDT,2023-03-12 20:03:23.913,TRX,USDT,0.06006,15870.1,0.06014,6253.1
18,BTC/BUSD,2023-03-12 20:03:24.068,BTC,BUSD,20951.77,0.14222,20954.47,0.0305
19,BNB/BUSD,2023-03-12 20:03:24.147,BNB,BUSD,279.7,5.144,280.2,1.449
20,ETH/BUSD,2023-03-12 20:03:24.218,ETH,BUSD,1526.43,0.1626,1527.13,0.025
21,MATIC/BUSD,2023-03-12 20:03:24.297,MATIC,BUSD,1.0874,132.3,1.0882,50.0
22,USDC/BUSD,2023-03-12 20:03:24.380,USDC,BUSD,0.9563,41.74,0.9604,24.69
23,MANA/BUSD,2023-03-12 20:03:24.458,MANA,BUSD,0.5391,828.0,0.5403,821.0
24,ADA/BUSD,2023-03-12 20:03:24.537,ADA,BUSD,0.3151,993.5,0.3157,3384.0
25,SOL/BUSD,2023-03-12 20:03:24.623,SOL,BUSD,18.52,3.92,18.59,36.78
26,TRX/BUSD,2023-03-12 20:03:24.694,TRX,BUSD,0.06045,2053.6,0.06052,7019.2
27,BTC/USDC,2023-03-12 20:03:24.768,BTC,USDC,21850.99,0.01,21916.58,0.01
28,ETH/USDC,2023-03-12 20:03:24.836,ETH,USDC,1590.92,0.1626,1591.8,0.1626
29,SOL/USDC,2023-03-12 20:03:24.926,SOL,USDC,19.32,26.77,19.37,18.72
30,ADA/USDC,2023-03-12 20:03:25.005,ADA,USDC,0.3286,787.6,0.3292,786.6
31,BTC/DAI,2023-03-12 20:03:25.085,BTC,DAI,21638.32,0.04979,21638.33,9e-05
32,ETH/DAI,2023-03-12 20:03:25.162,ETH,DAI,1591.37,0.5,1593.24,0.5029
33,BTC/USD,2023-03-12 20:03:25.416,BTC,USD,21101.77,9e-05,21104.58,0.02369
34,ETH/USD,2023-03-12 20:03:25.495,ETH,USD,1537.31,2.1446,1537.69,0.5
35,USDT/USD,2023-03-12 20:03:25.580,USDT,USD,1.0135,3000.0,1.0137,37245.0
36,BNB/USD,2023-03-12 20:03:25.661,BNB,USD,282.1,4.647,282.3,8.135
37,ADA/USD,2023-03-12 20:03:25.739,ADA,USD,0.3177,3200.0,0.3178,400.0
38,BUSD/USD,2023-03-12 20:03:25.828,BUSD,USD,1.0079,2522.0,1.008,344.0
39,MATIC/USD,2023-03-12 20:03:25.904,MATIC,USD,1.0952,720.0,1.0955,114.1
40,USDC/USD,2023-03-12 20:03:25.974,USDC,USD,0.9658,2070.77,0.9661,2070.18
41,MANA/USD,2023-03-12 20:03:26.053,MANA,USD,0.5432,200.0,0.5442,330.0
42,DAI/USD,2023-03-12 20:03:26.125,DAI,USD,0.967,17.61,0.9768,621.52
43,SOL/USD,2023-03-12 20:03:26.187,SOL,USD,18.69,4.0,18.7,40.5
44,TRX/USD,2023-03-12 20:03:26.254,TRX,USD,0.06091,1400.0,0.06097,3250.0
