,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5005, 48.3]]","[[0.501, 557.7]]",2022-08-02 22:19:06.516,1063640939,ADA,USD,331.8,0.5005,48.3,0.501,557.7
BNB/USD,"[[284.1694, 2.0]]","[[284.3966, 5.03]]",2022-08-02 22:19:06.652,1427816527,BNB,USD,135.9,284.1694,2.0,284.3966,5.03
BTC/USD,"[[23101.05, 0.000476]]","[[23105.96, 0.024815]]",2022-08-02 22:19:06.723,2331098138,BTC,USD,71.1,23101.05,0.000476,23105.96,0.024815
BUSD/USD,"[[0.9999, 640520.77]]","[[1.0, 246808.25]]",2022-08-02 22:19:06.795,10748046,BUSD,USD,71.6,0.9999,640520.77,1.0,246808.25
ETH/USD,"[[1650.28, 9.102]]","[[1651.05, 2.1]]",2022-08-02 22:19:06.866,1995554208,ETH,USD,71.2,1650.28,9.102,1651.05,2.1
MANA/USD,"[[0.9711, 334.39]]","[[0.9729, 200.0]]",2022-08-02 22:19:06.934,741361827,MANA,USD,67.8,0.9711,334.39,0.9729,200.0
MATIC/USD,"[[0.8888, 1143.1]]","[[0.889, 929.5]]",2022-08-02 22:19:07.007,1112328421,MATIC,USD,73.4,0.8888,1143.1,0.889,929.5
POLY/USD,"[[0.2231, 1206.9]]","[[0.2247, 2547.9]]",2022-08-02 22:19:07.086,6422872,POLY,USD,78.2,0.2231,1206.9,0.2247,2547.9
SOL/USD,"[[41.1989, 4.54]]","[[41.2349, 4.54]]",2022-08-02 22:19:07.157,1315685657,SOL,USD,71.2,41.1989,4.54,41.2349,4.54
TRX/USD,"[[0.0685, 795107.8]]","[[0.0687, 204048.9]]",2022-08-02 22:19:07.229,9412671,TRX,USD,71.9,0.0685,795107.8,0.0687,204048.9
USDC/USD,"[[1.0, 324670.65]]","[[1.0001, 252784.92]]",2022-08-02 22:19:07.299,23321983,USDC,USD,70.2,1.0,324670.65,1.0001,252784.92
USDT/USD,"[[1.0002, 542527.81]]","[[1.0003, 594271.64]]",2022-08-02 22:19:07.370,67590108,USDT,USD,70.7,1.0002,542527.81,1.0003,594271.64
UST/USD,[],[],2022-08-02 22:19:07.440,3225972,UST,USD,70.3,,,,
XRP/USD,[],[],2022-08-02 22:19:07.513,119696569,XRP,USD,72.8,,,,
ADA/USDT,"[[0.50024, 16685.5]]","[[0.50101, 591.2]]",2022-08-02 22:19:07.581,637672464,ADA,USDT,68.4,0.50024,16685.5,0.50101,591.2
