,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
BTC/USD,"[[19090.58, 0.185]]","[[19094.94, 0.01978]]",2022-09-26 18:41:51.601,2568578843,BTC,USD,98.8,19090.58,0.185,19094.94,0.01978
BUSD/USD,"[[1.0, 898854.82]]","[[1.0001, 730995.9]]",2022-09-26 18:41:51.709,11295496,BUSD,USD,108.4,1.0,898854.82,1.0001,730995.9
ETH/USD,"[[1322.45, 3.9489]]","[[1322.95, 1.24598]]",2022-09-26 18:41:51.833,2201873352,ETH,USD,123.4,1322.45,3.9489,1322.95,1.24598
USDC/USD,"[[0.9998, 628531.08]]","[[0.9999, 512423.58]]",2022-09-26 18:41:51.976,23844767,USDC,USD,143.2,0.9998,628531.08,0.9999,512423.58
USDT/USD,"[[0.9999, 747372.54]]","[[1.0, 863552.32]]",2022-09-26 18:41:52.151,72214837,USDT,USD,174.8,0.9999,747372.54,1.0,863552.32
UST/USD,[],[],2022-09-26 18:41:52.355,3225972,UST,USD,204.0,,,,
BTC/USDT,"[[19094.69, 0.085]]","[[19101.27, 0.01603]]",2022-09-26 18:41:52.523,1383063192,BTC,USDT,168.2,19094.69,0.085,19101.27,0.01603
BUSD/USDT,"[[1.0, 21693.31]]","[[1.0001, 318314.18]]",2022-09-26 18:41:52.635,3912018,BUSD,USDT,111.8,1.0,21693.31,1.0001,318314.18
ETH/USDT,"[[1322.75, 0.55]]","[[1323.36, 0.24769]]",2022-09-26 18:41:52.689,1281756475,ETH,USDT,53.6,1322.75,0.55,1323.36,0.24769
USDC/USDT,"[[0.9999, 385550.0]]","[[1.0, 311075.0]]",2022-09-26 18:41:52.741,1379773,USDC,USDT,52.8,0.9999,385550.0,1.0,311075.0
UST/USDT,[],[],2022-09-26 18:41:52.801,1960270,UST,USDT,59.9,,,,
ETH/BTC,"[[0.069273, 0.26]]","[[0.069292, 1.3]]",2022-09-26 18:41:52.863,450475757,ETH,BTC,62.0,0.069273,0.26,0.069292,1.3
BTC/BUSD,"[[19093.13, 0.02]]","[[19096.69, 3e-06]]",2022-09-26 18:41:52.919,618667128,BTC,BUSD,56.0,19093.13,0.02,19096.69,3e-06
ETH/BUSD,"[[1322.97, 0.19]]","[[1323.66, 0.71774]]",2022-09-26 18:41:52.973,475848555,ETH,BUSD,53.8,1322.97,0.19,1323.66,0.71774
USDC/BUSD,"[[0.9999, 306363.06]]","[[1.0001, 359725.01]]",2022-09-26 18:41:53.029,661474,USDC,BUSD,55.4,0.9999,306363.06,1.0001,359725.01
BTC/USDC,"[[19092.58, 0.13094]]","[[19101.42, 0.002003]]",2022-09-26 18:41:53.081,349864806,BTC,USDC,52.8,19092.58,0.13094,19101.42,0.002003
ETH/USDC,"[[1322.85, 0.19]]","[[1323.62, 0.19]]",2022-09-26 18:41:53.139,133569986,ETH,USDC,57.8,1322.85,0.19,1323.62,0.19
BTC/UST,[],[],2022-09-26 18:41:53.201,2296799,BTC,UST,61.8,,,,
