,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5005, 41.4]]","[[0.5008, 448.1]]",2022-08-02 22:24:34.103,1063645883,ADA,USD,75.2,0.5005,41.4,0.5008,448.1
BNB/USD,"[[283.6716, 5.43]]","[[283.9337, 2.0]]",2022-08-02 22:24:34.169,1427824122,BNB,USD,66.5,283.6716,5.43,283.9337,2.0
BTC/USD,"[[23067.41, 0.000476]]","[[23072.47, 0.03]]",2022-08-02 22:24:34.237,2331111628,BTC,USD,68.0,23067.41,0.000476,23072.47,0.03
BUSD/USD,"[[0.9999, 639644.68]]","[[1.0, 246795.39]]",2022-08-02 22:24:34.303,10748131,BUSD,USD,65.9,0.9999,639644.68,1.0,246795.39
ETH/USD,"[[1646.51, 0.0565]]","[[1646.61, 0.15]]",2022-08-02 22:24:34.373,1995568965,ETH,USD,69.4,1646.51,0.0565,1646.61,0.15
MANA/USD,"[[0.9708, 300.0]]","[[0.972, 200.0]]",2022-08-02 22:24:34.447,741367204,MANA,USD,73.8,0.9708,300.0,0.972,200.0
MATIC/USD,"[[0.8898, 1159.2]]","[[0.89, 1190.8]]",2022-08-02 22:24:34.518,1112353164,MATIC,USD,71.8,0.8898,1159.2,0.89,1190.8
POLY/USD,"[[0.2231, 1206.9]]","[[0.2246, 1575.2]]",2022-08-02 22:24:34.591,6422988,POLY,USD,72.4,0.2231,1206.9,0.2246,1575.2
SOL/USD,"[[41.1209, 0.73]]","[[41.1419, 1.07]]",2022-08-02 22:24:34.660,1315699703,SOL,USD,69.0,41.1209,0.73,41.1419,1.07
TRX/USD,"[[0.0685, 1240.3]]","[[0.0686, 343363.9]]",2022-08-02 22:24:34.729,9412812,TRX,USD,69.6,0.0685,1240.3,0.0686,343363.9
USDC/USD,"[[1.0, 327112.54]]","[[1.0001, 252784.92]]",2022-08-02 22:24:34.800,23322054,USDC,USD,70.3,1.0,327112.54,1.0001,252784.92
