,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4454, 1200.0]]","[[0.4457, 1200.0]]",2022-07-05 15:10:06.439,1021518210,ADA,USD,61.6,0.4454,1200.0,0.4457,1200.0
BNB/USD,"[[223.3634, 0.178]]","[[223.5576, 0.178]]",2022-07-05 15:10:06.501,1337476047,BNB,USD,61.8,223.3634,0.178,223.5576,0.178
BTC/USD,"[[19382.67, 0.14]]","[[19385.07, 0.011601]]",2022-07-05 15:10:06.563,2157413514,BTC,USD,62.3,19382.67,0.14,19385.07,0.011601
BUSD/USD,"[[0.9999, 19502.36]]","[[1.0001, 40679.02]]",2022-07-05 15:10:06.626,10406061,BUSD,USD,63.2,0.9999,19502.36,1.0001,40679.02
ETH/USD,"[[1084.8, 1.4]]","[[1085.42, 0.12384]]",2022-07-05 15:10:06.696,1876475718,ETH,USD,69.5,1084.8,1.4,1085.42,0.12384
MANA/USD,"[[0.8401, 300.0]]","[[0.8411, 300.0]]",2022-07-05 15:10:06.757,706535264,MANA,USD,61.1,0.8401,300.0,0.8411,300.0
MATIC/USD,"[[0.4934, 900.0]]","[[0.4938, 4535.0]]",2022-07-05 15:10:06.819,1034186166,MATIC,USD,61.9,0.4934,900.0,0.4938,4535.0
POLY/USD,"[[0.1872, 3833.4]]","[[0.1882, 1476.2]]",2022-07-05 15:10:06.881,5328260,POLY,USD,62.4,0.1872,3833.4,0.1882,1476.2
SOL/USD,"[[33.2846, 25.0]]","[[33.3027, 25.0]]",2022-07-05 15:10:06.943,1207488182,SOL,USD,61.5,33.2846,25.0,33.3027,25.0
TRX/USD,"[[0.0666, 21688.5]]","[[0.0668, 93724.5]]",2022-07-05 15:10:07.005,8023573,TRX,USD,62.4,0.0666,21688.5,0.0668,93724.5
USDC/USD,"[[0.9999, 61821.61]]","[[1.0, 372085.03]]",2022-07-05 15:10:07.067,22986369,USDC,USD,61.3,0.9999,61821.61,1.0,372085.03
USDT/USD,"[[0.9987, 64497.43]]","[[0.9989, 32083.04]]",2022-07-05 15:10:07.130,60363060,USDT,USD,63.6,0.9987,64497.43,0.9989,32083.04
UST/USD,[],[],2022-07-05 15:10:07.195,3225972,UST,USD,64.5,,,,
XRP/USD,[],[],2022-07-05 15:10:07.257,119696569,XRP,USD,61.8,,,,
ADA/USDT,"[[0.4457, 550.0]]","[[0.44635, 550.0]]",2022-07-05 15:10:07.318,605980444,ADA,USDT,61.5,0.4457,550.0,0.44635,550.0
BNB/USDT,"[[223.6351, 1.4]]","[[223.8404, 1.4]]",2022-07-05 15:10:07.380,764014149,BNB,USDT,62.4,223.6351,1.4,223.8404,1.4
BTC/USDT,"[[19403.72, 0.085]]","[[19411.59, 0.004916]]",2022-07-05 15:10:07.442,1165097016,BTC,USDT,61.6,19403.72,0.085,19411.59,0.004916
BUSD/USDT,"[[1.001, 132139.31]]","[[1.0015, 264276.11]]",2022-07-05 15:10:07.503,3608460,BUSD,USDT,61.1,1.001,132139.31,1.0015,264276.11
ETH/USDT,"[[1085.8, 6.9]]","[[1086.11, 8e-05]]",2022-07-05 15:10:07.564,1075431306,ETH,USDT,61.1,1085.8,6.9,1086.11,8e-05
MANA/USDT,"[[0.8408, 152.0]]","[[0.8435, 357.0]]",2022-07-05 15:10:07.626,47050687,MANA,USDT,62.1,0.8408,152.0,0.8435,357.0
