,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-13 15:26:13.923,ETH,BTC,0.069514,0.1,0.069539,1.4923
1,BNB/BTC,2023-03-13 15:26:13.980,BNB,BTC,0.01285,3.578,0.012866,9.001
2,ADA/BTC,2023-03-13 15:26:14.038,ADA,BTC,1.444e-05,2832.1,1.446e-05,300.1
3,SOL/BTC,2023-03-13 15:26:14.093,SOL,BTC,0.0008743,27.8,0.0008753,1.11
4,MATIC/BTC,2023-03-13 15:26:14.146,MATIC,BTC,4.914e-05,628.3,4.924e-05,401.6
5,MANA/BTC,2023-03-13 15:26:14.200,MANA,BTC,2.474e-05,1040.0,2.479e-05,747.0
6,TRX/BTC,2023-03-13 15:26:14.257,TRX,BTC,2.81e-06,6998.0,2.82e-06,7063.0
7,ADA/ETH,2023-03-13 15:26:14.311,ADA,ETH,0.0002091,0.1,0.0002092,891.0
8,BTC/USDT,2023-03-13 15:26:14.365,BTC,USDT,24157.36,0.03892,24169.39,0.04092
9,ETH/USDT,2023-03-13 15:26:14.420,ETH,USDT,1679.76,0.5,1680.84,0.0147
10,BNB/USDT,2023-03-13 15:26:14.480,BNB,USDT,310.7,2.164,310.9,3.943
11,ADA/USDT,2023-03-13 15:26:14.538,ADA,USDT,0.3492,1050.0,0.3494,2100.0
12,BUSD/USDT,2023-03-13 15:26:14.595,BUSD,USDT,0.9958,1362.0,0.9967,7990.0
13,SOL/USDT,2023-03-13 15:26:14.657,SOL,USDT,21.19,18.0,21.22,41.57
14,USDC/USDT,2023-03-13 15:26:14.715,USDC,USDT,0.9885,3201.0,0.9886,137102.0
15,MATIC/USDT,2023-03-13 15:26:14.771,MATIC,USDT,1.1881,235.0,1.1892,235.0
16,MANA/USDT,2023-03-13 15:26:14.828,MANA,USDT,0.5978,417.0,0.5993,555.0
17,TRX/USDT,2023-03-13 15:26:14.885,TRX,USDT,0.06807,12605.3,0.06817,69889.2
18,BTC/BUSD,2023-03-13 15:26:15.004,BTC,BUSD,24258.21,0.0325,24270.25,0.13462
19,BNB/BUSD,2023-03-13 15:26:15.067,BNB,BUSD,311.8,1.0,312.3,2.856
20,ETH/BUSD,2023-03-13 15:26:15.131,ETH,BUSD,1686.71,0.69,1687.99,0.69
21,MATIC/BUSD,2023-03-13 15:26:15.185,MATIC,BUSD,1.1927,66.7,1.1951,2134.4
22,USDC/BUSD,2023-03-13 15:26:15.238,USDC,BUSD,0.9891,8081.9,0.9919,82866.55
23,MANA/BUSD,2023-03-13 15:26:15.292,MANA,BUSD,0.6002,413.0,0.6023,746.0
24,ADA/BUSD,2023-03-13 15:26:15.350,ADA,BUSD,0.3503,2589.7,0.3512,1778.2
25,SOL/BUSD,2023-03-13 15:26:15.404,SOL,BUSD,21.2,257.13,21.32,23.95
26,TRX/BUSD,2023-03-13 15:26:15.458,TRX,BUSD,0.06837,10052.1,0.06844,3645.1
27,BTC/USDC,2023-03-13 15:26:15.512,BTC,USDC,24454.13,0.005,24516.47,0.005
28,ETH/USDC,2023-03-13 15:26:15.570,ETH,USDC,1698.56,0.1,1705.46,0.0118
29,SOL/USDC,2023-03-13 15:26:15.627,SOL,USDC,21.06,23.76,21.68,87.38
30,ADA/USDC,2023-03-13 15:26:15.685,ADA,USDC,0.352,23894.7,0.3549,142.8
31,BTC/DAI,2023-03-13 15:26:15.739,BTC,DAI,24361.85,0.12353,24403.54,0.04459
32,ETH/DAI,2023-03-13 15:26:15.793,ETH,DAI,1694.84,0.4962,1696.81,0.4455
33,BTC/USD,2023-03-13 15:26:15.907,BTC,USD,24285.26,0.00361,24289.42,0.00328
34,ETH/USD,2023-03-13 15:26:15.965,ETH,USD,1689.25,1.5065,1689.73,5.5
35,USDT/USD,2023-03-13 15:26:16.018,USDT,USD,1.0053,1500.0,1.0055,47.0
36,BNB/USD,2023-03-13 15:26:16.075,BNB,USD,312.4,3.585,312.6,5.767
37,ADA/USD,2023-03-13 15:26:16.134,ADA,USD,0.3513,3780.0,0.3515,3500.0
38,BUSD/USD,2023-03-13 15:26:16.192,BUSD,USD,1.0003,58.0,1.0004,629401.0
39,MATIC/USD,2023-03-13 15:26:16.250,MATIC,USD,1.1953,720.0,1.196,670.0
40,USDC/USD,2023-03-13 15:26:16.303,USDC,USD,0.9916,8459.51,0.995,294009.09
41,MANA/USD,2023-03-13 15:26:16.360,MANA,USD,0.6016,117.0,0.6024,133.0
42,DAI/USD,2023-03-13 15:26:16.414,DAI,USD,0.987,277.23,0.9973,199.27
43,SOL/USD,2023-03-13 15:26:16.470,SOL,USD,21.33,20.0,21.35,20.0
44,TRX/USD,2023-03-13 15:26:16.527,TRX,USD,0.06845,11223.1,0.06853,7550.8
