,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5004, 941.7]]","[[0.5009, 1157.0]]",2022-08-02 22:19:13.513,1063641026,ADA,USD,78.2,0.5004,941.7,0.5009,1157.0
BNB/USD,"[[284.1946, 1.838]]","[[284.3919, 3.307]]",2022-08-02 22:19:13.583,1427816624,BNB,USD,70.4,284.1946,1.838,284.3919,3.307
BTC/USD,"[[23096.66, 0.012538]]","[[23098.96, 5e-06]]",2022-08-02 22:19:13.651,2331098444,BTC,USD,68.3,23096.66,0.012538,23098.96,5e-06
BUSD/USD,"[[0.9999, 640520.77]]","[[1.0, 246808.25]]",2022-08-02 22:19:13.722,10748047,BUSD,USD,70.6,0.9999,640520.77,1.0,246808.25
ETH/USD,"[[1650.29, 1.51445]]","[[1650.61, 0.06309]]",2022-08-02 22:19:13.789,1995554630,ETH,USD,66.8,1650.29,1.51445,1650.61,0.06309
MANA/USD,"[[0.971, 2445.54]]","[[0.9725, 400.0]]",2022-08-02 22:19:13.857,741361877,MANA,USD,67.8,0.971,2445.54,0.9725,400.0
MATIC/USD,"[[0.8891, 1153.0]]","[[0.8892, 648.6]]",2022-08-02 22:19:13.928,1112329009,MATIC,USD,71.5,0.8891,1153.0,0.8892,648.6
POLY/USD,"[[0.2232, 412.9]]","[[0.2246, 1978.4]]",2022-08-02 22:19:13.996,6422874,POLY,USD,68.2,0.2232,412.9,0.2246,1978.4
SOL/USD,"[[41.1945, 4.54]]","[[41.2197, 24.26]]",2022-08-02 22:19:14.067,1315685878,SOL,USD,71.0,41.1945,4.54,41.2197,24.26
TRX/USD,"[[0.0685, 928239.2]]","[[0.0687, 291624.2]]",2022-08-02 22:19:14.138,9412673,TRX,USD,70.6,0.0685,928239.2,0.0687,291624.2
USDC/USD,"[[1.0, 324670.65]]","[[1.0001, 252784.92]]",2022-08-02 22:19:14.207,23321985,USDC,USD,69.5,1.0,324670.65,1.0001,252784.92
USDT/USD,"[[1.0002, 542527.81]]","[[1.0003, 594271.64]]",2022-08-02 22:19:14.279,67590123,USDT,USD,71.1,1.0002,542527.81,1.0003,594271.64
UST/USD,[],[],2022-08-02 22:19:14.346,3225972,UST,USD,67.9,,,,
XRP/USD,[],[],2022-08-02 22:19:14.420,119696569,XRP,USD,73.4,,,,
ADA/USDT,"[[0.50029, 799.0]]","[[0.50101, 591.2]]",2022-08-02 22:19:14.492,637672510,ADA,USDT,72.1,0.50029,799.0,0.50101,591.2
BNB/USDT,"[[283.8515, 0.8]]","[[284.4706, 2.3]]",2022-08-02 22:19:14.562,787084636,BNB,USDT,70.2,283.8515,0.8,284.4706,2.3
BTC/USDT,"[[23084.03, 0.01651]]","[[23099.61, 4e-06]]",2022-08-02 22:19:14.631,1254644229,BTC,USDT,68.7,23084.03,0.01651,23099.61,4e-06
BUSD/USDT,"[[0.9996, 217137.27]]","[[0.9997, 174833.92]]",2022-08-02 22:19:14.704,3777723,BUSD,USDT,72.7,0.9996,217137.27,0.9997,174833.92
ETH/USDT,"[[1650.22, 0.42226]]","[[1651.27, 0.40553]]",2022-08-02 22:19:14.778,1174679659,ETH,USDT,74.9,1650.22,0.42226,1651.27,0.40553
MANA/USDT,"[[0.9702, 346.0]]","[[0.973, 247.0]]",2022-08-02 22:19:14.851,51902928,MANA,USDT,72.2,0.9702,346.0,0.973,247.0
MATIC/USDT,"[[0.888, 659.3]]","[[0.89, 6391.3]]",2022-08-02 22:19:14.925,48486935,MATIC,USDT,74.5,0.888,659.3,0.89,6391.3
POLY/USDT,"[[0.223, 1310.2]]","[[0.2246, 2260.7]]",2022-08-02 22:19:14.993,4304984,POLY,USDT,68.2,0.223,1310.2,0.2246,2260.7
SOL/USDT,"[[41.1991, 11.12]]","[[41.2351, 11.12]]",2022-08-02 22:19:15.068,552730216,SOL,USDT,74.8,41.1991,11.12,41.2351,11.12
TRX/USDT,"[[0.06844, 616004.1]]","[[0.06865, 4373.2]]",2022-08-02 22:19:15.135,16853000,TRX,USDT,66.9,0.06844,616004.1,0.06865,4373.2
USDC/USDT,"[[0.9997, 347189.0]]","[[0.9998, 187957.0]]",2022-08-02 22:19:15.210,1312165,USDC,USDT,74.8,0.9997,347189.0,0.9998,187957.0
UST/USDT,[],[],2022-08-02 22:19:15.282,1960270,UST,USDT,71.7,,,,
XRP/USDT,[],[],2022-08-02 22:19:15.350,100846158,XRP,USDT,68.5,,,,
ADA/BTC,"[[2.165e-05, 5493.0]]","[[2.169e-05, 199.0]]",2022-08-02 22:19:15.418,124221664,ADA,BTC,68.0,2.165e-05,5493.0,2.169e-05,199.0
BNB/BTC,"[[0.0123095, 0.04]]","[[0.0123202, 5.32]]",2022-08-02 22:19:15.489,247641202,BNB,BTC,71.1,0.0123095,0.04,0.0123202,5.32
ETH/BTC,"[[0.071456, 2.24]]","[[0.071493, 0.002]]",2022-08-02 22:19:15.566,401593819,ETH,BTC,76.4,0.071456,2.24,0.071493,0.002
MANA/BTC,"[[4.204e-05, 301.0]]","[[4.216e-05, 241.0]]",2022-08-02 22:19:15.636,14672300,MANA,BTC,70.5,4.204e-05,301.0,4.216e-05,241.0
MATIC/BTC,"[[3.847e-05, 632.5]]","[[3.851e-05, 33.9]]",2022-08-02 22:19:15.707,16633018,MATIC,BTC,71.0,3.847e-05,632.5,3.851e-05,33.9
POLY/BTC,"[[9.66e-06, 1408.0]]","[[9.72e-06, 1208.0]]",2022-08-02 22:19:15.779,2909734,POLY,BTC,72.2,9.66e-06,1408.0,9.72e-06,1208.0
SOL/BTC,"[[0.0017835, 9.17]]","[[0.0017855, 8.7]]",2022-08-02 22:19:15.848,57822266,SOL,BTC,68.8,0.0017835,9.17,0.0017855,8.7
TRX/BTC,"[[2.96e-06, 758694.0]]","[[2.98e-06, 199615.0]]",2022-08-02 22:19:15.921,1894909,TRX,BTC,72.8,2.96e-06,758694.0,2.98e-06,199615.0
XRP/BTC,[],[],2022-08-02 22:19:16.076,48000651,XRP,BTC,154.8,,,,
ADA/BUSD,"[[0.5, 1052.1]]","[[0.502, 23133.2]]",2022-08-02 22:19:16.150,9602849,ADA,BUSD,74.7,0.5,1052.1,0.502,23133.2
BNB/BUSD,"[[283.9582, 0.07]]","[[284.6897, 0.5]]",2022-08-02 22:19:16.224,213195989,BNB,BUSD,73.1,283.9582,0.07,284.6897,0.5
BTC/BUSD,"[[23099.21, 0.02]]","[[23117.29, 0.026]]",2022-08-02 22:19:16.292,576127520,BTC,BUSD,68.3,23099.21,0.02,23117.29,0.026
ETH/BUSD,"[[1651.36, 0.57451]]","[[1652.97, 0.52197]]",2022-08-02 22:19:16.363,432412790,ETH,BUSD,70.6,1651.36,0.57451,1652.97,0.52197
MANA/BUSD,"[[0.9716, 242.0]]","[[0.9744, 268.0]]",2022-08-02 22:19:16.433,26926840,MANA,BUSD,70.4,0.9716,242.0,0.9744,268.0
MATIC/BUSD,"[[0.88913, 280.9]]","[[0.89038, 280.9]]",2022-08-02 22:19:16.503,349381994,MATIC,BUSD,70.3,0.88913,280.9,0.89038,280.9
POLY/BUSD,"[[0.223, 910.7]]","[[0.2246, 1433.3]]",2022-08-02 22:19:16.580,4002218,POLY,BUSD,76.8,0.223,910.7,0.2246,1433.3
SOL/BUSD,"[[41.21, 7.23]]","[[41.29, 50.58]]",2022-08-02 22:19:16.655,41147059,SOL,BUSD,75.3,41.21,7.23,41.29,50.58
TRX/BUSD,"[[0.06851, 8136.8]]","[[0.06869, 53019.2]]",2022-08-02 22:19:16.726,11048844,TRX,BUSD,70.6,0.06851,8136.8,0.06869,53019.2
USDC/BUSD,"[[1.0, 305146.29]]","[[1.0001, 289328.69]]",2022-08-02 22:19:16.796,645669,USDC,BUSD,70.1,1.0,305146.29,1.0001,289328.69
XRP/BUSD,[],[],2022-08-02 22:19:16.866,28045681,XRP,BUSD,70.0,,,,
BTC/USDC,"[[23103.9, 0.02]]","[[23121.26, 0.216346]]",2022-08-02 22:19:16.937,275630801,BTC,USDC,70.9,23103.9,0.02,23121.26,0.216346
ETH/USDC,"[[1650.95, 1.5134]]","[[1653.03, 1.5131]]",2022-08-02 22:19:17.007,99442054,ETH,USDC,70.1,1650.95,1.5134,1653.03,1.5131
BTC/UST,[],[],2022-08-02 22:19:17.078,2296799,BTC,UST,70.5,,,,
