,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
0,ETH/BTC,2023-03-09 02:51:37.044,ETH,BTC,0.070842,0.2,0.070872,1.5002
1,BNB/BTC,2023-03-09 02:51:37.110,BNB,BTC,0.013336,3.0,0.013353,0.068
2,ADA/BTC,2023-03-09 02:51:37.174,ADA,BTC,1.465e-05,1000.0,1.467e-05,956.3
3,SOL/BTC,2023-03-09 02:51:37.240,SOL,BTC,0.0008542,31.59,0.0008561,14.89
4,MATIC/BTC,2023-03-09 02:51:37.304,MATIC,BTC,4.901e-05,144.9,4.912e-05,434.3
5,MANA/BTC,2023-03-09 02:51:37.370,MANA,BTC,2.534e-05,2018.0,2.542e-05,826.0
6,TRX/BTC,2023-03-09 02:51:37.435,TRX,BTC,3.01e-06,6346.0,3.02e-06,13037.0
7,ADA/ETH,2023-03-09 02:51:37.500,ADA,ETH,0.0002065,1782.4,0.000207,228.9
8,BTC/USDT,2023-03-09 02:51:37.567,BTC,USDT,21768.74,0.04344,21774.04,0.06079
9,ETH/USDT,2023-03-09 02:51:37.637,ETH,USDT,1542.41,1.2,1543.02,1.2
10,BNB/USDT,2023-03-09 02:51:37.705,BNB,USDT,290.5,1.853,290.6,2.67
11,ADA/USDT,2023-03-09 02:51:37.768,ADA,USDT,0.3189,2300.0,0.319,1390.0
12,BUSD/USDT,2023-03-09 02:51:37.833,BUSD,USDT,0.9996,327823.0,1.0001,325277.0
13,SOL/USDT,2023-03-09 02:51:37.899,SOL,USDT,18.62,44.35,18.63,61.84
14,USDC/USDT,2023-03-09 02:51:37.966,USDC,USDT,0.9999,325901.0,1.0002,287876.0
15,MATIC/USDT,2023-03-09 02:51:38.032,MATIC,USDT,1.0678,702.3,1.0697,712.4
16,MANA/USDT,2023-03-09 02:51:38.099,MANA,USDT,0.5523,538.0,0.5531,1553.0
17,TRX/USDT,2023-03-09 02:51:38.168,TRX,USDT,0.06555,11441.2,0.0656,11434.2
18,BTC/BUSD,2023-03-09 02:51:38.305,BTC,BUSD,21766.89,0.05,21771.32,0.02
19,BNB/BUSD,2023-03-09 02:51:38.376,BNB,BUSD,290.4,2.581,290.6,5.161
20,ETH/BUSD,2023-03-09 02:51:38.442,ETH,BUSD,1542.39,0.29,1542.95,0.58
21,MATIC/BUSD,2023-03-09 02:51:38.537,MATIC,BUSD,1.0677,351.1,1.0686,631.6
22,USDC/BUSD,2023-03-09 02:51:38.610,USDC,BUSD,0.9996,272795.26,0.9999,327646.59
23,MANA/BUSD,2023-03-09 02:51:38.682,MANA,BUSD,0.5518,2504.0,0.5535,822.0
24,ADA/BUSD,2023-03-09 02:51:38.752,ADA,BUSD,0.3187,2916.1,0.3194,997.3
25,SOL/BUSD,2023-03-09 02:51:38.837,SOL,BUSD,18.58,42.77,18.65,109.05
26,TRX/BUSD,2023-03-09 02:51:38.904,TRX,BUSD,0.06555,2288.2,0.06559,11434.7
27,BTC/USDC,2023-03-09 02:51:38.970,BTC,USDC,21765.14,0.03,21771.7,0.0285
28,ETH/USDC,2023-03-09 02:51:39.043,ETH,USDC,1542.41,0.25,1542.78,0.25
29,SOL/USDC,2023-03-09 02:51:39.106,SOL,USDC,18.61,80.59,18.65,428.93
30,ADA/USDC,2023-03-09 02:51:39.170,ADA,USDC,0.3185,10415.6,0.3192,8458.8
31,BTC/DAI,2023-03-09 02:51:39.232,BTC,DAI,21757.54,0.04957,21784.86,0.04459
32,ETH/DAI,2023-03-09 02:51:39.311,ETH,DAI,1541.89,0.4968,1543.99,0.4492
33,BTC/USD,2023-03-09 02:51:39.446,BTC,USD,21766.65,0.02,21770.95,0.00745
34,ETH/USD,2023-03-09 02:51:39.517,ETH,USD,1542.37,1.58,1542.62,1.533
35,USDT/USD,2023-03-09 02:51:39.595,USDT,USD,0.9998,87795.0,0.9999,996760.0
36,BNB/USD,2023-03-09 02:51:39.683,BNB,USD,290.5,0.318,290.6,9.57
37,ADA/USD,2023-03-09 02:51:39.791,ADA,USD,0.3189,3400.0,0.319,2465.9
38,BUSD/USD,2023-03-09 02:51:39.887,BUSD,USD,0.9997,513743.0,0.9999,1079301.0
39,MATIC/USD,2023-03-09 02:51:39.966,MATIC,USD,1.0681,335.0,1.0685,545.5
40,USDC/USD,2023-03-09 02:51:40.040,USDC,USD,1.0,33271.76,1.0001,499668.44
41,MANA/USD,2023-03-09 02:51:40.110,MANA,USD,0.5523,530.0,0.553,1553.0
42,DAI/USD,2023-03-09 02:51:40.175,DAI,USD,0.9959,12037.2,1.0002,40363.86
43,SOL/USD,2023-03-09 02:51:40.243,SOL,USD,18.62,42.04,18.63,384.31
44,TRX/USD,2023-03-09 02:51:40.310,TRX,USD,0.06555,10553.2,0.06558,8832.5
