,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5007, 800.0]]","[[0.5011, 557.7]]",2022-08-02 22:19:52.114,1063641685,ADA,USD,73.9,0.5007,800.0,0.5011,557.7
BNB/USD,"[[284.0185, 2.0]]","[[284.3045, 2.0]]",2022-08-02 22:19:52.191,1427817934,BNB,USD,77.2,284.0185,2.0,284.3045,2.0
BTC/USD,"[[23094.11, 0.015345]]","[[23098.12, 0.0111]]",2022-08-02 22:19:52.263,2331100592,BTC,USD,72.1,23094.11,0.015345,23098.12,0.0111
BUSD/USD,"[[0.9999, 640502.14]]","[[1.0, 246795.39]]",2022-08-02 22:19:52.334,10748054,BUSD,USD,70.9,0.9999,640502.14,1.0,246795.39
ETH/USD,"[[1650.88, 0.06832]]","[[1651.23, 0.06424]]",2022-08-02 22:19:52.403,1995556826,ETH,USD,68.9,1650.88,0.06832,1651.23,0.06424
MANA/USD,"[[0.9712, 200.0]]","[[0.9738, 200.0]]",2022-08-02 22:19:52.475,741362695,MANA,USD,71.7,0.9712,200.0,0.9738,200.0
MATIC/USD,"[[0.8888, 222.6]]","[[0.8899, 222.6]]",2022-08-02 22:19:52.543,1112333041,MATIC,USD,68.2,0.8888,222.6,0.8899,222.6
POLY/USD,"[[0.2231, 1206.9]]","[[0.2247, 2547.9]]",2022-08-02 22:19:52.616,6422878,POLY,USD,72.6,0.2231,1206.9,0.2247,2547.9
SOL/USD,"[[41.2133, 4.54]]","[[41.2344, 12.12]]",2022-08-02 22:19:52.689,1315688128,SOL,USD,73.0,41.2133,4.54,41.2344,12.12
TRX/USD,"[[0.0685, 811439.9]]","[[0.0687, 204048.9]]",2022-08-02 22:19:52.759,9412685,TRX,USD,70.6,0.0685,811439.9,0.0687,204048.9
USDC/USD,"[[1.0, 324597.83]]","[[1.0001, 252784.92]]",2022-08-02 22:19:52.836,23321995,USDC,USD,76.5,1.0,324597.83,1.0001,252784.92
USDT/USD,"[[1.0002, 542527.81]]","[[1.0003, 593530.12]]",2022-08-02 22:19:52.907,67590181,USDT,USD,70.7,1.0002,542527.81,1.0003,593530.12
