,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4483, 1200.0]]","[[0.4485, 1200.0]]",2022-07-05 15:51:31.206,1021549518,ADA,USD,67.9,0.4483,1200.0,0.4485,1200.0
BNB/USD,"[[224.27, 0.178]]","[[224.4037, 0.178]]",2022-07-05 15:51:31.273,1337542334,BNB,USD,67.1,224.27,0.178,224.4037,0.178
BTC/USD,"[[19463.85, 0.000698]]","[[19467.41, 0.001]]",2022-07-05 15:51:31.339,2157580245,BTC,USD,66.0,19463.85,0.000698,19467.41,0.001
BUSD/USD,"[[0.9999, 12674.79]]","[[1.0001, 33997.19]]",2022-07-05 15:51:31.406,10406312,BUSD,USD,67.4,0.9999,12674.79,1.0001,33997.19
ETH/USD,"[[1089.49, 0.34862]]","[[1089.85, 0.0756]]",2022-07-05 15:51:31.474,1876641358,ETH,USD,67.9,1089.49,0.34862,1089.85,0.0756
MANA/USD,"[[0.8465, 300.0]]","[[0.8478, 466.93]]",2022-07-05 15:51:31.543,706563456,MANA,USD,69.0,0.8465,300.0,0.8478,466.93
MATIC/USD,"[[0.4949, 6103.6]]","[[0.4953, 3000.0]]",2022-07-05 15:51:31.619,1034257974,MATIC,USD,75.3,0.4949,6103.6,0.4953,3000.0
POLY/USD,"[[0.189, 1665.7]]","[[0.1898, 6106.3]]",2022-07-05 15:51:31.685,5329320,POLY,USD,66.0,0.189,1665.7,0.1898,6106.3
SOL/USD,"[[33.6778, 25.0]]","[[33.6952, 25.0]]",2022-07-05 15:51:31.751,1207615042,SOL,USD,66.2,33.6778,25.0,33.6952,25.0
TRX/USD,"[[0.0668, 7887.2]]","[[0.067, 40377.2]]",2022-07-05 15:51:31.820,8025147,TRX,USD,68.9,0.0668,7887.2,0.067,40377.2
USDC/USD,"[[0.9999, 64605.13]]","[[1.0, 370200.7]]",2022-07-05 15:51:31.890,22986561,USDC,USD,70.2,0.9999,64605.13,1.0,370200.7
USDT/USD,"[[0.9987, 70080.61]]","[[0.9988, 500.0]]",2022-07-05 15:51:31.957,60397274,USDT,USD,66.7,0.9987,70080.61,0.9988,500.0
UST/USD,[],[],2022-07-05 15:51:32.025,3225972,UST,USD,67.8,,,,
XRP/USD,[],[],2022-07-05 15:51:32.091,119696569,XRP,USD,65.9,,,,
