,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.5161, 1100.0]]","[[0.5163, 2098.1]]",2022-08-06 22:40:27.149,1069101990,ADA,USD,76.1,0.5161,1100.0,0.5163,2098.1
BNB/USD,"[[316.3513, 1.532]]","[[316.3898, 4.666]]",2022-08-06 22:40:27.211,1434011138,BNB,USD,61.9,316.3513,1.532,316.3898,4.666
BTC/USD,"[[23175.83, 0.255]]","[[23182.26, 0.255]]",2022-08-06 22:40:27.271,2354886314,BTC,USD,60.0,23175.83,0.255,23182.26,0.255
BUSD/USD,"[[1.0, 694340.31]]","[[1.0001, 640964.14]]",2022-08-06 22:40:27.329,10784074,BUSD,USD,58.0,1.0,694340.31,1.0001,640964.14
ETH/USD,"[[1714.51, 3.83209]]","[[1714.58, 1.45808]]",2022-08-06 22:40:27.391,2009900650,ETH,USD,61.9,1714.51,3.83209,1714.58,1.45808
MANA/USD,"[[1.0601, 692.97]]","[[1.0614, 240.0]]",2022-08-06 22:40:27.450,745550698,MANA,USD,59.3,1.0601,692.97,1.0614,240.0
MATIC/USD,"[[0.9179, 2470.4]]","[[0.9181, 1243.2]]",2022-08-06 22:40:27.515,1124530674,MATIC,USD,64.0,0.9179,2470.4,0.9181,1243.2
POLY/USD,"[[0.2301, 1077.0]]","[[0.2312, 1129.4]]",2022-08-06 22:40:27.577,6518439,POLY,USD,62.6,0.2301,1077.0,0.2312,1129.4
SOL/USD,"[[40.5725, 0.5]]","[[40.5796, 22.11]]",2022-08-06 22:40:27.639,1328903361,SOL,USD,61.4,40.5725,0.5,40.5796,22.11
TRX/USD,"[[0.0697, 1062158.6]]","[[0.0699, 188279.6]]",2022-08-06 22:40:27.701,9565940,TRX,USD,62.1,0.0697,1062158.6,0.0699,188279.6
USDC/USD,"[[1.0, 423861.66]]","[[1.0001, 593975.89]]",2022-08-06 22:40:27.767,23369183,USDC,USD,66.4,1.0,423861.66,1.0001,593975.89
USDT/USD,"[[1.0, 487266.18]]","[[1.0001, 300472.13]]",2022-08-06 22:40:27.831,67827588,USDT,USD,63.5,1.0,487266.18,1.0001,300472.13
UST/USD,[],[],2022-08-06 22:40:27.897,3225972,UST,USD,66.3,,,,
XRP/USD,[],[],2022-08-06 22:40:27.959,119696569,XRP,USD,62.4,,,,
ADA/USDT,"[[0.51598, 823.9]]","[[0.51624, 485.0]]",2022-08-06 22:40:28.019,640389507,ADA,USDT,59.5,0.51598,823.9,0.51624,485.0
BNB/USDT,"[[316.2395, 0.9]]","[[316.3815, 0.1]]",2022-08-06 22:40:28.078,789005929,BNB,USDT,59.0,316.2395,0.9,316.3815,0.1
BTC/USDT,"[[23173.88, 0.087313]]","[[23179.66, 0.13]]",2022-08-06 22:40:28.136,1266012647,BTC,USDT,58.1,23173.88,0.087313,23179.66,0.13
BUSD/USDT,"[[0.9997, 115818.72]]","[[0.9998, 197543.77]]",2022-08-06 22:40:28.196,3796435,BUSD,USDT,59.7,0.9997,115818.72,0.9998,197543.77
ETH/USDT,"[[1713.24, 0.95]]","[[1714.22, 0.95]]",2022-08-06 22:40:28.256,1181364908,ETH,USDT,59.9,1713.24,0.95,1714.22,0.95
MANA/USDT,"[[1.0597, 231.0]]","[[1.0619, 214.0]]",2022-08-06 22:40:28.315,52457240,MANA,USDT,59.8,1.0597,231.0,1.0619,214.0
MATIC/USDT,"[[0.917, 811.9]]","[[0.919, 6089.1]]",2022-08-06 22:40:28.381,49138133,MATIC,USDT,65.6,0.917,811.9,0.919,6089.1
POLY/USDT,"[[0.2303, 2008.1]]","[[0.231, 1977.2]]",2022-08-06 22:40:28.444,4361570,POLY,USDT,62.8,0.2303,2008.1,0.231,1977.2
SOL/USDT,"[[40.5318, 0.5]]","[[40.5763, 1.23]]",2022-08-06 22:40:28.506,560845965,SOL,USDT,62.2,40.5318,0.5,40.5763,1.23
TRX/USDT,"[[0.06974, 12813.5]]","[[0.06985, 4294.7]]",2022-08-06 22:40:28.568,17036654,TRX,USDT,61.6,0.06974,12813.5,0.06985,4294.7
USDC/USDT,"[[0.9999, 234899.0]]","[[1.0, 345569.0]]",2022-08-06 22:40:28.627,1321299,USDC,USDT,59.0,0.9999,234899.0,1.0,345569.0
UST/USDT,[],[],2022-08-06 22:40:28.689,1960270,UST,USDT,62.5,,,,
XRP/USDT,[],[],2022-08-06 22:40:28.760,100846158,XRP,USDT,70.7,,,,
ADA/BTC,"[[2.225e-05, 2422.0]]","[[2.228e-05, 968.0]]",2022-08-06 22:40:28.820,124391661,ADA,BTC,59.6,2.225e-05,2422.0,2.228e-05,968.0
BNB/BTC,"[[0.0136392, 0.8]]","[[0.0136496, 0.8]]",2022-08-06 22:40:28.879,248187068,BNB,BTC,59.5,0.0136392,0.8,0.0136496,0.8
ETH/BTC,"[[0.073926, 0.295]]","[[0.073963, 0.295]]",2022-08-06 22:40:28.939,405868562,ETH,BTC,60.1,0.073926,0.295,0.073963,0.295
MANA/BTC,"[[4.574e-05, 5.0]]","[[4.581e-05, 290.0]]",2022-08-06 22:40:29.012,14833589,MANA,BTC,72.4,4.574e-05,5.0,4.581e-05,290.0
MATIC/BTC,"[[3.961e-05, 24.5]]","[[3.963e-05, 272.1]]",2022-08-06 22:40:29.071,16824751,MATIC,BTC,59.7,3.961e-05,24.5,3.963e-05,272.1
POLY/BTC,"[[9.93e-06, 1300.0]]","[[9.94e-06, 35.0]]",2022-08-06 22:40:29.133,2946989,POLY,BTC,61.9,9.93e-06,1300.0,9.94e-06,35.0
SOL/BTC,"[[0.0017482, 9.45]]","[[0.0017512, 12.31]]",2022-08-06 22:40:29.196,59141742,SOL,BTC,62.4,0.0017482,9.45,0.0017512,12.31
TRX/BTC,"[[3e-06, 1185689.0]]","[[3.02e-06, 4286.0]]",2022-08-06 22:40:29.257,1917140,TRX,BTC,61.5,3e-06,1185689.0,3.02e-06,4286.0
XRP/BTC,[],[],2022-08-06 22:40:29.319,48000651,XRP,BTC,61.9,,,,
ADA/BUSD,"[[0.515, 14981.0]]","[[0.517, 6236.7]]",2022-08-06 22:40:29.379,9658434,ADA,BUSD,59.9,0.515,14981.0,0.517,6236.7
BNB/BUSD,"[[315.949, 3.0]]","[[316.3859, 22.91]]",2022-08-06 22:40:29.441,213865357,BNB,BUSD,62.1,315.949,3.0,316.3859,22.91
BTC/BUSD,"[[23176.55, 0.0455]]","[[23184.84, 0.0455]]",2022-08-06 22:40:29.503,580215039,BTC,BUSD,62.2,23176.55,0.0455,23184.84,0.0455
ETH/BUSD,"[[1713.78, 0.33]]","[[1714.5, 0.33]]",2022-08-06 22:40:29.565,436165141,ETH,BUSD,61.5,1713.78,0.33,1714.5,0.33
MANA/BUSD,"[[1.0593, 288.0]]","[[1.0619, 282.0]]",2022-08-06 22:40:29.625,27185586,MANA,BUSD,60.0,1.0593,288.0,1.0619,282.0
MATIC/BUSD,"[[0.91778, 272.3]]","[[0.91831, 3572.1]]",2022-08-06 22:40:29.686,350689802,MATIC,BUSD,60.8,0.91778,272.3,0.91831,3572.1
POLY/BUSD,"[[0.2304, 3642.2]]","[[0.2311, 1977.2]]",2022-08-06 22:40:29.746,4054464,POLY,BUSD,60.5,0.2304,3642.2,0.2311,1977.2
SOL/BUSD,"[[40.53, 68.42]]","[[40.63, 79.46]]",2022-08-06 22:40:29.806,41591930,SOL,BUSD,59.7,40.53,68.42,40.63,79.46
TRX/BUSD,"[[0.06976, 37717.9]]","[[0.06986, 4294.8]]",2022-08-06 22:40:29.866,11213860,TRX,BUSD,59.8,0.06976,37717.9,0.06986,4294.8
USDC/BUSD,"[[0.9999, 311173.3]]","[[1.0, 291162.22]]",2022-08-06 22:40:29.930,646496,USDC,BUSD,64.3,0.9999,311173.3,1.0,291162.22
XRP/BUSD,[],[],2022-08-06 22:40:29.990,28045681,XRP,BUSD,60.1,,,,
BTC/USDC,"[[23178.03, 0.08]]","[[23185.02, 0.08]]",2022-08-06 22:40:30.059,288002622,BTC,USDC,68.4,23178.03,0.08,23185.02,0.08
ETH/USDC,"[[1713.51, 0.315]]","[[1714.5, 0.315]]",2022-08-06 22:40:30.120,102689109,ETH,USDC,61.9,1713.51,0.315,1714.5,0.315
BTC/UST,[],[],2022-08-06 22:40:30.180,2296799,BTC,UST,59.6,,,,
