,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
ADA/USD,"[[0.4467, 1229.4]]","[[0.447, 1234.6]]",2022-07-05 15:08:16.463,1021515358,ADA,USD,75.4,0.4467,1229.4,0.447,1234.6
BNB/USD,"[[224.0532, 0.178]]","[[224.175, 2.35]]",2022-07-05 15:08:16.523,1337470854,BNB,USD,60.0,224.0532,0.178,224.175,2.35
BTC/USD,"[[19429.11, 0.001813]]","[[19431.08, 0.001813]]",2022-07-05 15:08:16.586,2157403430,BTC,USD,63.0,19429.11,0.001813,19431.08,0.001813
BUSD/USD,"[[0.9999, 19984.54]]","[[1.0001, 41127.35]]",2022-07-05 15:08:16.649,10406042,BUSD,USD,62.8,0.9999,19984.54,1.0001,41127.35
ETH/USD,"[[1090.57, 0.06716]]","[[1090.87, 1.4]]",2022-07-05 15:08:16.711,1876463704,ETH,USD,61.9,1090.57,0.06716,1090.87,1.4
MANA/USD,"[[0.8439, 300.0]]","[[0.845, 466.93]]",2022-07-05 15:08:16.774,706533517,MANA,USD,63.6,0.8439,300.0,0.845,466.93
MATIC/USD,"[[0.4968, 5529.0]]","[[0.4973, 6087.6]]",2022-07-05 15:08:16.834,1034181162,MATIC,USD,60.2,0.4968,5529.0,0.4973,6087.6
POLY/USD,"[[0.1878, 1625.2]]","[[0.1887, 200.0]]",2022-07-05 15:08:16.897,5328193,POLY,USD,62.1,0.1878,1625.2,0.1887,200.0
SOL/USD,"[[33.4928, 25.66]]","[[33.5104, 25.46]]",2022-07-05 15:08:16.958,1207477427,SOL,USD,61.6,33.4928,25.66,33.5104,25.46
TRX/USD,"[[0.0667, 22646.1]]","[[0.0669, 74846.1]]",2022-07-05 15:08:17.018,8023442,TRX,USD,59.8,0.0667,22646.1,0.0669,74846.1
USDC/USD,"[[0.9999, 62173.98]]","[[1.0, 376042.96]]",2022-07-05 15:08:17.079,22986353,USDC,USD,61.3,0.9999,62173.98,1.0,376042.96
USDT/USD,"[[0.9987, 69140.62]]","[[0.9989, 41198.85]]",2022-07-05 15:08:17.151,60360689,USDT,USD,71.5,0.9987,69140.62,0.9989,41198.85
UST/USD,[],[],2022-07-05 15:08:17.212,3225972,UST,USD,61.1,,,,
XRP/USD,[],[],2022-07-05 15:08:17.272,119696569,XRP,USD,59.9,,,,
ADA/USDT,"[[0.44734, 550.0]]","[[0.44766, 550.0]]",2022-07-05 15:08:17.336,605978488,ADA,USDT,64.0,0.44734,550.0,0.44766,550.0
BNB/USDT,"[[224.303, 1.4]]","[[224.4668, 1.4]]",2022-07-05 15:08:17.402,764011543,BNB,USDT,66.1,224.303,1.4,224.4668,1.4
BTC/USDT,"[[19450.94, 0.085]]","[[19456.42, 0.085]]",2022-07-05 15:08:17.462,1165090853,BTC,USDT,59.9,19450.94,0.085,19456.42,0.085
BUSD/USDT,"[[1.001, 132139.31]]","[[1.0015, 264276.11]]",2022-07-05 15:08:17.524,3608456,BUSD,USDT,62.3,1.001,132139.31,1.0015,264276.11
ETH/USDT,"[[1091.88, 0.45842]]","[[1092.3, 0.9]]",2022-07-05 15:08:17.594,1075422652,ETH,USDT,69.8,1091.88,0.45842,1092.3,0.9
MANA/USDT,"[[0.8445, 208.0]]","[[0.8465, 356.0]]",2022-07-05 15:08:17.659,47050329,MANA,USDT,64.9,0.8445,208.0,0.8465,356.0
MATIC/USDT,"[[0.497, 2006.6]]","[[0.498, 603.7]]",2022-07-05 15:08:17.721,41491978,MATIC,USDT,62.0,0.497,2006.6,0.498,603.7
POLY/USDT,"[[0.188, 918.1]]","[[0.189, 994.4]]",2022-07-05 15:08:17.783,3642925,POLY,USDT,61.9,0.188,918.1,0.189,994.4
SOL/USDT,"[[33.5276, 12.0]]","[[33.5535, 12.0]]",2022-07-05 15:08:17.844,501535813,SOL,USDT,61.2,33.5276,12.0,33.5535,12.0
TRX/USDT,"[[0.06681, 11914.2]]","[[0.06692, 6496.4]]",2022-07-05 15:08:17.906,14721884,TRX,USDT,62.1,0.06681,11914.2,0.06692,6496.4
USDC/USDT,"[[1.001, 205197.0]]","[[1.0016, 376353.0]]",2022-07-05 15:08:17.967,1226123,USDC,USDT,60.3,1.001,205197.0,1.0016,376353.0
UST/USDT,[],[],2022-07-05 15:08:18.030,1960270,UST,USDT,63.8,,,,
XRP/USDT,[],[],2022-07-05 15:08:18.093,100846158,XRP,USDT,62.2,,,,
ADA/BTC,"[[2.298e-05, 224.0]]","[[2.299e-05, 20.0]]",2022-07-05 15:08:18.156,122120583,ADA,BTC,63.9,2.298e-05,224.0,2.299e-05,20.0
BNB/BTC,"[[0.0115248, 0.12]]","[[0.0115392, 0.12]]",2022-07-05 15:08:18.218,243622978,BNB,BTC,61.5,0.0115248,0.12,0.0115392,0.12
ETH/BTC,"[[0.056123, 0.046]]","[[0.056148, 0.32]]",2022-07-05 15:08:18.280,377733956,ETH,BTC,62.1,0.056123,0.046,0.056148,0.32
MANA/BTC,"[[4.341e-05, 261.0]]","[[4.352e-05, 620.0]]",2022-07-05 15:08:18.342,13381525,MANA,BTC,61.8,4.341e-05,261.0,4.352e-05,620.0
MATIC/BTC,"[[2.555e-05, 1051.5]]","[[2.56e-05, 603.7]]",2022-07-05 15:08:18.405,13642361,MATIC,BTC,62.8,2.555e-05,1051.5,2.56e-05,603.7
POLY/BTC,"[[9.67e-06, 839.0]]","[[9.72e-06, 1399.0]]",2022-07-05 15:08:18.470,2420603,POLY,BTC,65.6,9.67e-06,839.0,9.72e-06,1399.0
SOL/BTC,"[[0.0017229, 3.74]]","[[0.0017254, 7.47]]",2022-07-05 15:08:18.532,49634063,SOL,BTC,61.7,0.0017229,3.74,0.0017254,7.47
TRX/BTC,"[[3.43e-06, 4494.0]]","[[3.45e-06, 46361.0]]",2022-07-05 15:08:18.594,1579949,TRX,BTC,61.9,3.43e-06,4494.0,3.45e-06,46361.0
XRP/BTC,[],[],2022-07-05 15:08:18.655,48000651,XRP,BTC,61.0,,,,
ADA/BUSD,"[[0.446, 5755.1]]","[[0.448, 12686.2]]",2022-07-05 15:08:18.718,8925182,ADA,BUSD,62.8,0.446,5755.1,0.448,12686.2
BNB/BUSD,"[[223.9014, 6.7]]","[[224.1658, 2.0]]",2022-07-05 15:08:18.780,207236192,BNB,BUSD,61.8,223.9014,6.7,224.1658,2.0
BTC/BUSD,"[[19429.17, 0.034]]","[[19430.39, 2e-06]]",2022-07-05 15:08:18.842,526435615,BTC,BUSD,62.3,19429.17,0.034,19430.39,2e-06
ETH/BUSD,"[[1090.62, 0.42]]","[[1091.04, 0.42]]",2022-07-05 15:08:18.903,394919933,ETH,BUSD,61.6,1090.62,0.42,1091.04,0.42
MANA/BUSD,"[[0.8436, 257.0]]","[[0.8452, 356.0]]",2022-07-05 15:08:18.963,24548217,MANA,BUSD,59.8,0.8436,257.0,0.8452,356.0
MATIC/BUSD,"[[0.49691, 4010.3]]","[[0.49732, 603.6]]",2022-07-05 15:08:19.026,331850545,MATIC,BUSD,62.4,0.49691,4010.3,0.49732,603.6
POLY/BUSD,"[[0.1878, 917.2]]","[[0.1888, 1256.4]]",2022-07-05 15:08:19.087,3422899,POLY,BUSD,61.4,0.1878,917.2,0.1888,1256.4
SOL/BUSD,"[[33.45, 25.57]]","[[33.53, 15.05]]",2022-07-05 15:08:19.147,36825070,SOL,BUSD,59.6,33.45,25.57,33.53,15.05
TRX/BUSD,"[[0.06672, 4492.1]]","[[0.06683, 12393.8]]",2022-07-05 15:08:19.211,9527936,TRX,BUSD,64.2,0.06672,4492.1,0.06683,12393.8
USDC/BUSD,"[[0.9998, 63851.52]]","[[1.0, 178692.97]]",2022-07-05 15:08:19.273,637687,USDC,BUSD,62.0,0.9998,63851.52,1.0,178692.97
XRP/BUSD,[],[],2022-07-05 15:08:19.335,28045681,XRP,BUSD,61.8,,,,
BTC/USDC,"[[19428.2, 0.051462]]","[[19432.79, 0.035]]",2022-07-05 15:08:19.397,232588733,BTC,USDC,61.9,19428.2,0.051462,19432.79,0.035
ETH/USDC,"[[1090.62, 0.415]]","[[1090.97, 0.415]]",2022-07-05 15:08:19.461,68060195,ETH,USDC,64.5,1090.62,0.415,1090.97,0.415
BTC/UST,[],[],2022-07-05 15:08:19.525,2296799,BTC,UST,64.0,,,,
